"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198889493076","<𝓑>Ташкент","364","0","364","364","4.26","0","0","18","0","0","0","9999","{}","{""Para"":7,""Palustris"":6,""-TL- Trance"":10,""GingerSlushii"":27,""Spamdini"":5,""Data"":6,""Blackshooter"":25,""-TL- JB"":2,""(WTH) HoneyBadger"":11,""azi11a"":8,""-TL- HotDog-7"":11,""-TL- Edotensei"":9,""-TL- MsDieALOT"":3,""-TL- CheeksLastRide"":3,""-TL- Use The PIAT!"":10,""MrInsaneBunny"":4,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":36,""-TL- RectumRipper"":6,""-TL- tacotastic"":3,""Galtia"":31,""-TL- 🅼🅴🅻🅻🅾🆆"":23,""-TL- Peif_Rimgarr"":2,""-TL- bueno"":36,""Dr Spetz"":8,""-TL- rwendler613"":27,""thelastpizzaroll"":9,""-TL- Potato"":34}","2782","0","1780","0","{""UNKNOWN"":1,""M2 AP MINE"":1,""M1A1 AT MINE"":1,""150MM HOWITZER [sFH 18]"":361}","{}"
"76561198193020965","LIONS SUPERBOWL","230","0","230","230","2.69","0","0","7","0","0","0","9999","{}","{""【𝓕𝓙】GGBOND"":2,""【𝓕𝓙𝓖】sakura"":19,""【𝓕𝓙𝓧】四季豆Eason"":16,""【𝓕𝓙𝓖】御坂美琴"":14,""【𝓕𝓙𝓧】SSO"":9,""【𝓕𝓙】JZred"":1,""Crazydog.世界第一倒霉"":2,""【𝓕𝓙𝓧】小幼神"":10,""【𝓕𝓙𝓧】Astra"":3,""【𝓕𝓙𝓖】革命军-平安县城"":3,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":1,""Mevius"":1,""【𝓕𝓙𝓧】TK.han"":3,""一个路过的老猎人"":4,""【𝓕𝓙】idc"":4,""零化域的缺失之环Auruth"":3,""【FJ】kele不加冰"":1,""【𝓕𝓙】全斗焕Eason"":7,""CrazyRannn"":12,""【𝓕𝓙𝓖】Ping"":9,""【𝓕𝓙𝓖】BBK"":4,""【𝓕𝓙】ShelbyCC"":3,""【𝓕𝓙】老污狮"":1,""𝓕𝓙】小卓"":3,""【𝓕𝓙𝓖】BaoQian_404"":20,""[FOC]NAGI"":5,""【𝓕𝓙𝓧】Zeus"":4,""Shigure"":1,""[FOC]我叫彭于晏"":6,""【𝓕𝓙𝓧】罗斯基"":13,""【𝓕𝓙】~AIO~"":1,""【𝓕𝓙𝓧】失落的玉"":11,""【𝓕𝓙𝓖】Mikasa"":8,""【𝓕𝓙】-小小指挥王"":3,""【𝓕𝓙𝓧】芭芭拉"":7,""【𝓕𝓙𝓧】雪"":16}","1999","15","1780","0","{""155MM HOWITZER [M114]"":230}","{}"
"76561199213310035","【𝓕𝓙𝓧】Sprite","134","53","2.53","10","1.57","0.62","3","2","0","0","386","20","{""Para"":1,""-TL-  Gil"":5,""-TL- bic"":1,""-TL- Bisper"":4,""Data"":1,""-TL- Uncle Cletus"":1,""zunshin"":2,""-TL- JB"":1,""azi11a"":2,""-TL- MsDieALOT"":1,""-TL- Tigers0204"":1,""-TL- MACK"":8,""-TL- Use The PIAT!"":2,""MrInsaneBunny"":2,""Lets"":2,""-TL- REDACTED"":1,""-TL- tacotastic"":4,""3fm"":3,""Galtia"":1,""Dr Spetz"":2,""-TL- rik"":3,""-TL- Ken"":1,""thelastpizzaroll"":1,""-TL- Potato"":2,""-TL- Deic1de"":1}","{""Para"":1,""-TL-  Gil"":6,""-TL- Slug"":1,""-TL- bic"":10,""-TL- Trance"":2,""GingerSlushii"":3,""-TL- Bisper"":14,""-TL- Uncle Cletus"":4,""Blackshooter"":2,""zunshin"":1,""-TL- JB"":1,""(WTH) HoneyBadger"":2,""azi11a"":9,""-TL- HotDog-7"":4,""-TL- Edotensei"":1,""-TL- MsDieALOT"":1,""-TL- Tigers0204"":1,""-TL- CheeksLastRide"":1,""-TL- MACK"":8,""MSAP"":1,""-TL- Use The PIAT!"":3,""MrInsaneBunny"":4,""-TL- Monster_Corndog"":4,""Lets"":5,""-TL- REDACTED"":1,""-TL- RectumRipper"":2,""-TL- tacotastic"":10,""3fm"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- Peif_Rimgarr"":1,""Dr Spetz"":2,""-TL- rik"":5,""-TL- Ken"":7,""-TL- rwendler613"":2,""thelastpizzaroll"":1,""-TL- Potato"":1,""-TL- Deic1de"":9}","944","40","920","380","{""STG44"":6,""GEWEHR 43"":128}","{""M1 GARAND"":43,""COLT M1911"":1,""M1 CARBINE"":3,""BROWNING M1919"":3,""M1903 SPRINGFIELD"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198812523658","【𝓕𝓙𝓧】Astra","121","45","2.69","16","1.42","0.53","3","0","3","1","581","24","{""Para"":2,""-TL- BiaDeOiad"":3,""Palustris"":1,""-TL- bic"":2,""GingerSlushii"":2,""Data"":3,""-TL- JVCK"":1,""Blackshooter"":3,""-TL- JB"":2,""(WTH) HoneyBadger"":2,""-TL- Tigers0204"":1,""-TL- CheeksLastRide"":4,""LIONS SUPERBOWL"":3,""MrInsaneBunny"":1,""-TL- REDACTED"":2,""-TL- tacotastic"":3,""Galtia"":1,""-TL- bueno"":3,""Dr Spetz"":1,""-TL- Ken"":1,""-TL- rwendler613"":1,""-TL- Potato"":3}","{""Para"":3,""-TL- BiaDeOiad"":1,""Palustris"":8,""-TL- bic"":3,""GingerSlushii"":6,""-TL- Bisper"":1,""Data"":3,""Blackshooter"":8,""-TL- JB"":1,""(WTH) HoneyBadger"":1,""azi11a"":5,""-TL- Edotensei"":8,""-TL- MsDieALOT"":10,""-TL- Tigers0204"":1,""-TL- CheeksLastRide"":6,""-TL- MACK"":3,""-TL- Use The PIAT!"":2,""MrInsaneBunny"":2,""-TL- REDACTED"":3,""-TL- RectumRipper"":5,""-TL- tacotastic"":4,""Galtia"":6,""-TL- 🅼🅴🅻🅻🅾🆆"":5,""-TL- bueno"":8,""Dr Spetz"":1,""-TL- rik"":3,""-TL- Ken"":2,""-TL- rwendler613"":2,""thelastpizzaroll"":4,""-TL- Potato"":6}","851","50","1200","120","{""GEWEHR 43"":121}","{""155MM HOWITZER [M114]"":3,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":3,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":6,""BOMBING RUN"":2,""BAZOOKA"":1,""SATCHEL"":1,""57MM CANNON [M1 57mm]"":3,""M1 CARBINE"":1,""M1 GARAND"":22,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561199517634424","【𝓕𝓙𝓧】小幼神","101","51","1.98","15","1.18","0.6","4","0","1","1","500","13","{""Para"":1,""Palustris"":1,""GingerSlushii"":4,""Data"":4,""-TL- JVCK"":2,""Blackshooter"":2,""-TL- JB"":2,""(WTH) HoneyBadger"":2,""-TL- Tigers0204"":1,""-TL- CheeksLastRide"":1,""LIONS SUPERBOWL"":10,""-TL- REDACTED"":4,""Trump's Right Ear"":1,""-TL- Bu𝓣𝓣eryBi𝓣s"":1,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""-TL- bueno"":4,""-TL- Ken"":1,""-TL- rwendler613"":2,""thelastpizzaroll"":1,""-TL- Potato"":2}","{""Para"":2,""-TL- BiaDeOiad"":2,""Palustris"":1,""GingerSlushii"":7,""Spamdini"":1,""Data"":3,""-TL- JVCK"":1,""Blackshooter"":9,""(WTH) HoneyBadger"":6,""-TL- HotDog-7"":3,""-TL- Edotensei"":2,""-TL- MsDieALOT"":1,""-TL- Tigers0204"":1,""-TL- CheeksLastRide"":1,""-TL- Use The PIAT!"":3,""-TL- REDACTED"":13,""Galtia"":11,""-TL- 🅼🅴🅻🅻🅾🆆"":4,""-TL- Peif_Rimgarr"":1,""-TL- bueno"":5,""Dr Spetz"":5,""-TL- rwendler613"":8,""thelastpizzaroll"":1,""-TL- Potato"":10}","707","131","1180","140","{""GEWEHR 43"":100,""KARABINER 98K"":1}","{""155MM HOWITZER [M114]"":10,""M1918A2 BAR"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":2,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":2,""BOMBING RUN"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""HULL M1919 [Sherman M4A3(75)W]"":1,""M8 Greyhound"":1,""57MM CANNON [M1 57mm]"":1,""M1 CARBINE"":2,""M1 GARAND"":25}"
"76561197967505155","'-TL- MACK","84","48","1.75","7","0.98","0.56","4","0","0","0","339","21","{""【𝓕𝓙𝓒 】立华月"":2,""Crazydog.世界第一倒霉"":1,""【𝓕𝓙𝓧】Astra"":3,""唯独有你的季节迟迟不来"":1,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":1,""Mevius"":5,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":4,""【𝓕𝓙】idc"":3,""零化域的缺失之环Auruth"":1,""<𝓐𝓵𝓹𝓱𝓪>樱桃酱奈子🍒"":2,""【𝓕𝓙𝓖】Ping"":1,""【𝓕𝓙】ShelbyCC"":3,""【𝓕𝓙𝓧】Sprite"":8,""【𝓕𝓙】老污狮"":2,""𝓕𝓙】小卓"":5,""【𝓕𝓙】在0712看天依0721"":1,""【𝓕𝓙𝓧】Zeus"":3,""Shigure"":1,""【𝓕𝓙】-小小指挥王"":1}","{""【𝓕𝓙】GGBOND"":2,""【𝓕𝓙𝓒 】立华月"":1,""【𝓕𝓙𝓖】御坂美琴"":1,""【𝓕𝓙】苏Eason"":1,""Crazydog.世界第一倒霉"":3,""唯独有你的季节迟迟不来"":9,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":6,""Mevius"":2,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":7,""【𝓕𝓙】idc"":7,""零化域的缺失之环Auruth"":5,""<𝓐𝓵𝓹𝓱𝓪>樱桃酱奈子🍒"":10,""【𝓕𝓙】全斗焕Eason"":1,""CrazyRannn"":1,""【𝓕𝓙】ShelbyCC"":4,""【𝓕𝓙𝓧】Sprite"":8,""【𝓕𝓙】老污狮"":1,""𝓕𝓙】小卓"":5,""【𝓕𝓙𝓧】Zeus"":2,""Shigure"":6,""【𝓕𝓙𝓧】失落的玉"":1,""【𝓕𝓙𝓖】Mikasa"":1}","577","2845","280","1060","{""M1 GARAND"":84}","{""MG42"":3,""MP40"":1,""STG44"":9,""UNKNOWN"":1,""GEWEHR 43"":29,""KARABINER 98K"":4,""M43 STIELHANDGRANATE"":1}"
"76561199074728168","【𝓕𝓙𝓧】四季豆Eason","82","61","1.34","8","0.96","0.71","5","1","4","1","203","17","{""Palustris"":1,""GingerSlushii"":5,""Spamdini"":1,""Data"":5,""-TL- JVCK"":1,""Blackshooter"":3,""-TL- JB"":3,""(WTH) HoneyBadger"":5,""-TL- CheeksLastRide"":3,""LIONS SUPERBOWL"":16,""MrInsaneBunny"":2,""-TL- REDACTED"":4,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- bueno"":1,""Dr Spetz"":3,""-TL- rwendler613"":2,""-TL- Potato"":3}","{""Palustris"":2,""-TL- bic"":1,""GingerSlushii"":7,""Spamdini"":1,""Data"":1,""-TL- JVCK"":1,""Blackshooter"":14,""(WTH) HoneyBadger"":4,""-TL- HotDog-7"":1,""-TL- Edotensei"":1,""-TL- CheeksLastRide"":4,""MrInsaneBunny"":1,""-TL- REDACTED"":7,""-TL- Bu𝓣𝓣eryBi𝓣s"":1,""Galtia"":7,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""-TL- bueno"":8,""Dr Spetz"":2,""-TL- rwendler613"":11,""-TL- Potato"":5}","696","180","1020","100","{""MG42"":1,""STG44"":21,""SATCHEL"":6,""GEWEHR 43"":52,""M43 STIELHANDGRANATE"":2}","{""155MM HOWITZER [M114]"":16,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":3,""75MM CANNON [Sherman M4A3(75)W]"":1,""M1903 SPRINGFIELD"":2,""BROWNING M1919"":1,""COLT M1911"":1,""BOMBING RUN"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""M3 GREASE GUN"":2,""M1 CARBINE"":2,""STRAFING RUN"":1,""M1 GARAND"":25,""COAXIAL M1919 [Stuart M5A1]"":2}"
"76561198050068268","'-TL- CheeksLastRide","81","36","2.25","24","0.93","0.41","6","1","1","1","623","3","{""【𝓕𝓙𝓧】四季豆Eason"":4,""【𝓕𝓙𝓧】小幼神"":1,""【𝓕𝓙𝓧】Astra"":6,""【𝓕𝓙】CR 的大宝贝航空"":1,""唯独有你的季节迟迟不来"":2,""一个路过的老猎人"":1,""零化域的缺失之环Auruth"":1,""CrazyRannn"":3,""【𝓕𝓙】ShelbyCC"":2,""【𝓕𝓙𝓧】Sprite"":1,""【𝓕𝓙】老污狮"":1,""【𝓕𝓙𝓧】Zeus"":4,""<𝓑>Ташкент"":3,""【𝓕𝓙】~AIO~"":1,""【𝓕𝓙𝓧】失落的玉"":1,""【𝓕𝓙𝓧】芭芭拉"":1,""【𝓕𝓙𝓧】雪"":3}","{""【𝓕𝓙】GGBOND"":6,""【𝓕𝓙𝓖】sakura"":10,""【𝓕𝓙𝓧】四季豆Eason"":3,""【𝓕𝓙𝓒 】立华月"":2,""【𝓕𝓙】苏Eason"":1,""【𝓕𝓙𝓧】SSO"":3,""Crazydog.世界第一倒霉"":1,""【𝓕𝓙𝓧】小幼神"":1,""【𝓕𝓙𝓧】Astra"":4,""【𝓕𝓙𝓖】革命军-平安县城"":2,""Mevius"":1,""【𝓕𝓙𝓧】TK.han"":3,""【𝓕𝓙】idc"":1,""零化域的缺失之环Auruth"":3,""<𝓐𝓵𝓹𝓱𝓪>樱桃酱奈子🍒"":2,""【FJ】kele不加冰"":1,""CrazyRannn"":8,""【𝓕𝓙𝓖】Ping"":6,""【𝓕𝓙】ShelbyCC"":2,""𝓕𝓙】小卓"":3,""【𝓕𝓙𝓖】BaoQian_404"":1,""【𝓕𝓙𝓧】Zeus"":5,""【𝓕𝓙𝓧】罗斯基"":3,""【𝓕𝓙𝓖】Mikasa"":7,""【𝓕𝓙𝓧】芭芭拉"":2}","588","275","360","980","{""UNKNOWN"":1,""M1 GARAND"":27,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""BROWNING M1919"":15,""M1903 SPRINGFIELD"":36}","{""MG42"":4,""STG44"":5,""GEWEHR 43"":18,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198283075586","【𝓕𝓙𝓧】失落的玉","77","31","2.48","13","0.9","0.36","6","0","0","0","592","24","{""Para"":2,""Palustris"":3,""GingerSlushii"":3,""-TL- JVCK"":1,""-TL- JB"":3,""LIONS SUPERBOWL"":11,""-TL- MACK"":1,""-TL- REDACTED"":1,""Galtia"":4,""-TL- bueno"":1,""-TL- rwendler613"":1}","{""Para"":5,""Palustris"":4,""-TL- Trance"":1,""Data"":1,""-TL- Uncle Cletus"":1,""Blackshooter"":2,""-TL- JB"":3,""azi11a"":2,""-TL- HotDog-7"":5,""-TL- Edotensei"":9,""-TL- MsDieALOT"":5,""-TL- Tigers0204"":5,""-TL- CheeksLastRide"":1,""-TL- Use The PIAT!"":8,""MrInsaneBunny"":4,""-TL- Monster_Corndog"":1,""-TL- RectumRipper"":1,""-TL- tacotastic"":1,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":4,""-TL- Peif_Rimgarr"":2,""-TL- bueno"":2,""Dr Spetz"":1,""-TL- rwendler613"":2,""thelastpizzaroll"":3,""-TL- Potato"":2}","543","165","1220","140","{""MG42"":77}","{""M1 GARAND"":11,""M1 CARBINE"":1,""BOMBING RUN"":1,""STRAFING RUN"":2,""BROWNING M1919"":2,""155MM HOWITZER [M114]"":11,""75MM CANNON [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198366281231","【𝓕𝓙𝓧】Zeus","76","60","1.27","7","0.89","0.7","5","0","0","0","217","30","{""Palustris"":2,""-TL- Trance"":1,""GingerSlushii"":1,""Data"":1,""-TL- JVCK"":1,""Blackshooter"":4,""-TL- JB"":1,""(WTH) HoneyBadger"":1,""azi11a"":1,""-TL- HotDog-7"":1,""-TL- Edotensei"":2,""-TL- Tigers0204"":7,""-TL- CheeksLastRide"":5,""LIONS SUPERBOWL"":4,""-TL- MACK"":2,""MrInsaneBunny"":3,""Lets"":1,""-TL- REDACTED"":1,""-TL- tacotastic"":3,""3fm"":3,""Galtia"":5,""-TL- 🅼🅴🅻🅻🅾🆆"":4,""-TL- Peif_Rimgarr"":1,""Dr Spetz"":2,""-TL- rik"":1,""-TL- Ken"":1,""-TL- Potato"":1}","{""Para"":11,""-TL-  Gil"":1,""-TL- Trance"":3,""GingerSlushii"":3,""-TL- Bisper"":1,""Data"":3,""Blackshooter"":3,""-TL- JB"":1,""(WTH) HoneyBadger"":1,""azi11a"":3,""-TL- HotDog-7"":3,""-TL- Edotensei"":2,""-TL- MsDieALOT"":5,""-TL- Tigers0204"":4,""-TL- CheeksLastRide"":4,""-TL- MACK"":3,""MrInsaneBunny"":1,""-TL- Monster_Corndog"":1,""-TL- REDACTED"":4,""-TL- RectumRipper"":4,""-TL- tacotastic"":3,""Galtia"":4,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- Peif_Rimgarr"":1,""-TL- bueno"":2,""-TL- rik"":1,""-TL- rwendler613"":1,""thelastpizzaroll"":1}","514","75","880","300","{""STG44"":40,""SATCHEL"":6,""GEWEHR 43"":28,""KARABINER 98K"":1,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":4,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":4,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":10,""BAZOOKA"":1,""M1 GARAND"":37}"
"76561199496712088","唯独有你的季节迟迟不来","74","56","1.32","12","0.87","0.66","6","0","0","0","395","19","{""-TL-  Gil"":1,""-TL- ULFBERHT"":1,""-TL- bic"":3,""-TL- Trance"":1,""Data"":2,""-TL- Uncle Cletus"":4,""zunshin"":1,""-TL- JB"":1,""azi11a"":2,""-TL- Tigers0204"":1,""-TL- MACK"":9,""MrInsaneBunny"":2,""-TL- Monster_Corndog"":4,""-TL- RectumRipper"":2,""-TL- tacotastic"":1,""3fm"":4,""Galtia"":1,""-TL- Peif_Rimgarr"":2,""Dr Spetz"":1,""-TL- rik"":4,""-TL- Ken"":4,""-TL- rwendler613"":1,""thelastpizzaroll"":1,""-TL- Deic1de"":3}","{""-TL- BiaDeOiad"":1,""Palustris"":1,""-TL-  Gil"":3,""-TL- ULFBERHT"":1,""-TL- bic"":7,""-TL- Trance"":2,""-TL- Bisper"":9,""-TL- Uncle Cletus"":2,""- TL - Alex Von Doom"":1,""azi11a"":4,""-TL- HotDog-7"":2,""-TL- CheeksLastRide"":2,""-TL- MACK"":1,""-TL- Use The PIAT!"":1,""MrInsaneBunny"":4,""-TL- Monster_Corndog"":5,""Lets"":2,""-TL- tacotastic"":5,""3fm"":4,""-TL- Peif_Rimgarr"":2,""Dr Spetz"":1,""-TL- rik"":2,""-TL- Ken"":2,""thelastpizzaroll"":3,""-TL- Deic1de"":7}","733","75","580","600","{""MP40"":8,""STG44"":29,""SATCHEL"":1,""GEWEHR 43"":35,""Sherman M4A3E2(76)"":1}","{""M1903 SPRINGFIELD"":2,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":3,""COLT M1911"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":1,""M1 GARAND"":45}"
"76561198138479263","'-TL- Ken","73","46","1.59","8","0.85","0.54","5","0","0","0","336","27","{""Crazydog.世界第一倒霉"":4,""【𝓕𝓙𝓧】Astra"":2,""【𝓕𝓙】CR 的大宝贝航空"":1,""唯独有你的季节迟迟不来"":2,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":3,""Mevius"":3,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":2,""【𝓕𝓙】idc"":3,""零化域的缺失之环Auruth"":4,""<𝓐𝓵𝓹𝓱𝓪>樱桃酱奈子🍒"":2,""【FJ】kele不加冰"":2,""【𝓕𝓙】ShelbyCC"":1,""【𝓕𝓙𝓧】Sprite"":7,""【𝓕𝓙】老污狮"":1,""𝓕𝓙】小卓"":1,""【𝓕𝓙】在0712看天依0721"":1,""Shigure"":6,""【𝓕𝓙】-小小指挥王"":1}","{""【𝓕𝓙】GGBOND"":1,""【𝓕𝓙𝓖】sakura"":3,""【𝓕𝓙𝓖】御坂美琴"":1,""【𝓕𝓙】苏Eason"":2,""Crazydog.世界第一倒霉"":5,""【𝓕𝓙𝓧】小幼神"":1,""【𝓕𝓙𝓧】Astra"":1,""【𝓕𝓙】CR 的大宝贝航空"":1,""唯独有你的季节迟迟不来"":4,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":4,""Mevius"":5,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":10,""【𝓕𝓙】idc"":4,""零化域的缺失之环Auruth"":5,""<𝓐𝓵𝓹𝓱𝓪>樱桃酱奈子🍒"":2,""【𝓕𝓙】温柔柔"":1,""【FJ】kele不加冰"":2,""CrazyRannn"":1,""【𝓕𝓙𝓖】Ping"":2,""【𝓕𝓙𝓧】Sprite"":1,""𝓕𝓙】小卓"":1,""【𝓕𝓙𝓖】BaoQian_404"":2,""【𝓕𝓙】在0712看天依0721"":2,""冰茉莉不加糖"":1,""【𝓕𝓙𝓧】Zeus"":1,""Shigure"":7,""【𝓕𝓙𝓧】罗斯基"":1,""【𝓕𝓙】-小小指挥王"":2}","691","75","300","900","{""BAZOOKA"":7,""M1 GARAND"":57,""M1903 SPRINGFIELD"":9}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":7,""GEWEHR 43"":24,""PANZERSCHRECK"":1,""S-MINE"":1,""M43 STIELHANDGRANATE"":1,""MG42"":4,""KARABINER 98K"":5,""MP40"":2}"
"76561198428066512","【𝓕𝓙】老污狮","70","16","4.38","26","0.84","0.19","3","0","1","1","1926","4","{""Data"":1,""-TL- JB"":1,""Dr Spetz"":7,""-TL-  Gil"":3,""-TL- MACK"":1,""GingerSlushii"":2,""LIONS SUPERBOWL"":1}","{""Para"":5,""Palustris"":1,""-TL- bic"":1,""-TL- Trance"":5,""GingerSlushii"":1,""-TL- Bisper"":1,""Data"":1,""-TL- Uncle Cletus"":2,""Blackshooter"":3,""-TL- JB"":2,""azi11a"":1,""-TL- Edotensei"":8,""-TL- CheeksLastRide"":1,""-TL- MACK"":2,""-TL- Use The PIAT!"":1,""MrInsaneBunny"":3,""-TL- Monster_Corndog"":3,""-TL- RectumRipper"":4,""-TL- tacotastic"":5,""-TL- 🅼🅴🅻🅻🅾🆆"":5,""-TL- Peif_Rimgarr"":1,""Dr Spetz"":2,""-TL- rik"":4,""-TL- Ken"":1,""-TL- rwendler613"":1,""thelastpizzaroll"":3,""-TL- Deic1de"":3}","492","0","1320","160","{""MG42"":70}","{""BAZOOKA"":1,""M1 GARAND"":13,""STRAFING RUN"":1,""155MM HOWITZER [M114]"":1}"
"76561198009498488","Data","65","43","1.51","11","0.76","0.5","7","0","0","0","538","26","{""【𝓕𝓙】GGBOND"":1,""【𝓕𝓙𝓧】四季豆Eason"":1,""【𝓕𝓙𝓒 】立华月"":1,""【𝓕𝓙𝓖】御坂美琴"":1,""Crazydog.世界第一倒霉"":1,""【𝓕𝓙𝓧】小幼神"":3,""【𝓕𝓙𝓧】Astra"":3,""【𝓕𝓙】CR 的大宝贝航空"":1,""【𝓕𝓙】细雨清风"":2,""Mevius"":2,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":1,""一个路过的老猎人"":2,""【𝓕𝓙】idc"":2,""【𝓕𝓙】温柔柔"":1,""【𝓕𝓙】ShelbyCC"":1,""【𝓕𝓙】老污狮"":1,""【𝓕𝓙𝓖】BaoQian_404"":1,""【𝓕𝓙𝓧】Zeus"":3,""<𝓑>Ташкент"":6,""Shigure"":2,""【𝓕𝓙】~AIO~"":1,""【𝓕𝓙𝓧】失落的玉"":1,""【𝓕𝓙𝓧】芭芭拉"":1,""【𝓕𝓙𝓧】雪"":4}","{""【𝓕𝓙】GGBOND"":1,""【𝓕𝓙𝓖】sakura"":2,""【𝓕𝓙𝓧】四季豆Eason"":5,""【𝓕𝓙𝓖】御坂美琴"":1,""【𝓕𝓙𝓧】SSO"":2,""Crazydog.世界第一倒霉"":7,""【𝓕𝓙𝓧】小幼神"":4,""【𝓕𝓙𝓧】Astra"":3,""唯独有你的季节迟迟不来"":2,""【𝓕𝓙】细雨清风"":1,""<𝓐𝓵𝓹𝓱𝓪>判官Roin"":2,""Mevius"":3,""【𝓕𝓙𝓧】TK.han"":2,""FOC EROS 1R𝓐𝓵𝓹𝓱𝓪未央意阑珊"":2,""【𝓕𝓙】idc"":6,""零化域的缺失之环Auruth"":4,""CrazyRannn"":1,""【𝓕𝓙𝓖】Ping"":2,""【𝓕𝓙𝓖】BBK"":2,""【𝓕𝓙𝓧】Sprite"":1,""【𝓕𝓙】老污狮"":1,""【𝓕𝓙𝓖】BaoQian_404"":1,""【𝓕𝓙𝓧】Zeus"":1,""【𝓕𝓙𝓧】罗斯基"":3,""【𝓕𝓙𝓖】Mikasa"":2,""【𝓕𝓙𝓧】芭芭拉"":1,""【𝓕𝓙𝓧】雪"":3}","499","545","420","800","{""BAZOOKA"":1,""M1 GARAND"":29,""M3 GREASE GUN"":7,""M1903 SPRINGFIELD"":15,""M6 37mm [M8 Greyhound]"":6,""37MM CANNON [Stuart M5A1]"":6,""COAXIAL M1919 [Stuart M5A1]"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""75MM CANNON [PAK 40]"":1,""STG44"":5,""GEWEHR 43"":13,""PANZERSCHRECK"":3,""150MM HOWITZER [sFH 18]"":6,""M43 STIELHANDGRANATE"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3,""MG42"":5,""KARABINER 98K"":4}"
