"Steam ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198024134113","🅲ˇ石崎川ˇ","36","70","0.51","4","0.42","0.82","9","0","0","0","620","14","{""(WTH) KAISER Mtbb"":2,""(WTH) Dorbian"":8,""(WTH) Alf"":6,""(WTH) Guinness"":2,""(WTH) .spxnk"":1,""Lazei"":1,""(WTH) AlexGZ"":2,""(WTH) Slappy"":3,""(WTH) Conor"":2,""(WTH) ya boy"":2,""(WTH) J4nnis"":4,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":4,""[WTH] Mike Lawry 유"":2,""(CCP) RisingZedong"":1,""(WTH) Junior你狗屎"":3,""(WTH) ㋡ Crusaderxx ❀"":7,""(WTH) era"":1,""(WTH) Sgt. Rico"":2,""(WTH) Raptor uK™"":2,""(WTH) Wolfi"":1,""(WTH) ✯Kongo"":2,""(WTH) GØBLYAXX ❀"":1,""(WTH) gavrich"":5,""(WTH) GΣRMANXX ❀"":4,""(WTH)✨ Tourop ✨"":1}","{""(WTH) KAISER Mtbb"":1,""(WTH) Dorbian"":5,""(WTH) Alf"":2,""(WTH) Zhong Xina"":1,""(WTH) Guinness"":2,""(WTH) .spxnk"":1,""Lazei"":1,""(WTH) DrDoof"":3,""(WTH) AlexGZ"":1,""(WTH)Watsonater3000"":2,""(WTH) Conor"":1,""(WTH) Drachi ッ"":1,""(WTH) J4nnis"":1,""(WTH) Lehtikylä"":1,""(WTH) Junior你狗屎"":6,""(WTH) era"":1,""(WTH) Wolfi"":3,""(WTH) ✯Kongo"":2,""(WTH) GØBLYAXX ❀"":1}","227","1303","1060","120","{""M1 GARAND"":36}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":5,""GEWEHR 43"":32,""PANZERSCHRECK"":2,""150MM HOWITZER [sFH 18]"":5,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":16,""KARABINER 98K"":5,""FG42 x4"":2,""MP40"":1}"
"76561198974563644","🅲ˇ真白shinakoˇ","43","50","0.86","6","0.5","0.59","6","0","0","0","392","14","{""(WTH) KAISER Mtbb"":5,""(WTH) Neffex"":2,""(WTH) .spxnk"":1,""(WTH) delete"":6,""(WTH) BABY SharK ｼ 2.0"":2,""Lazei"":3,""(WTH) John ツ"":4,""(WTH) DrDoof"":2,""(WTH) AlexGZ"":2,""(WTH) Slappy"":1,""(WTH)Watsonater3000"":1,""(WTH) Drachi ッ"":1,""(WTH) ya boy"":6,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":1,""[WTH] Mike Lawry 유"":2,""(WTH) Junior你狗屎"":2,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) Sgt. Rico"":2,""(WTH) Zota"":1,""(WTH) Raptor uK™"":1,""(WTH) gavrich"":3}","{""(WTH) KAISER Mtbb"":3,""(wth) Trotche"":1,""(WTH) Zhong Xina"":2,""(WTH) Neffex"":2,""(WTH) .spxnk"":5,""(WTH) Desper"":1,""(WTH) delete"":4,""Lazei"":4,""(WTH) John ツ"":1,""(WTH) DrDoof"":2,""(WTH) Slappy"":1,""(WTH)Watsonater3000"":4,""(WTH) ya boy"":1,""(WTH) GingerSlushii"":2,""(WTH) Lehtikylä"":1,""(WTH) Junior你狗屎"":1,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) Sgt. Rico"":2,""(WTH) Zota"":4,""(WTH) Wolfi"":1}","299","1140","1140","160","{""M1 GARAND"":43}","{""STG44"":6,""GEWEHR 43"":19,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":3,""M43 STIELHANDGRANATE"":2,""SATCHEL"":1,""WALTHER P38"":1,""MG42"":9,""KARABINER 98K"":3,""FG42 x4"":2,""MP40"":3}"
"76561197991668873","(WTH) Neffex","43","39","1.1","8","0.5","0.46","6","0","0","0","410","30","{""🅲ˇThree3ˇ"":5,""🅲ˇFirst Baturuˇ"":2,""🅲ˇRookie"":2,""🅲 ˇ 脑袋不空空的如也酱 ˇ"":1,""🅲ˇElixir_小国ˇ"":1,""🅲ˇManagerˇ"":1,""🅲ˇ真白shinakoˇ"":2,""Donk666"":2,""chebelFIOR"":1,""🅲ˇ晨洋ˇBABA"":5,""🅲ˇ黑夜不过白昼ˇ"":1,""🅲ˇTony9478"":4,""Kobe Bryant"":1,""突破王"":6,""leo.messi"":3,""2Teng"":1,""🅲ˇSleep a Summerˇ"":1}","{""🅲ˇ三个点ˇ"":2,""🅲ˇThree3ˇ"":5,""🅲ˇVergissmeinnicht"":4,""🅲ˇFirst Baturuˇ"":3,""🅲ˇHalloween∞ˇ"":1,""🅲ˇRookie"":1,""🅲ˇ真白shinakoˇ"":2,""🅲ˇAlituofo小女孩ˇ"":2,""🅲ˇSUNˇ"":2,""Donk666"":3,""chebelFIOR"":2,""🅲ˇ晨洋ˇBABA"":4,""莽皮坨冠军"":1,""🅲ˇ捷森猪猪Jason_piggyˇ"":1,""Kobe Bryant"":2,""突破王"":6,""leo.messi"":2}","333","605","440","920","{""GEWEHR 43"":43}","{""M1 GARAND"":30,""COLT M1911"":1,""M1 CARBINE"":1,""BROWNING M1919"":3,""M97 TRENCH GUN"":1,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198026997108","(WTH) Stoom","0","4","0","0","0","0.05","4","0","0","0","3542","66","{""Oasis"":1,""🅲ˇTony9478"":1,""🅲 ˆ Seer ˆ"":1,""🅲ˇ抢镜的最佳路人"":1}","{}","0","1279","1660","20","{}","{""M1 GARAND"":1,""BROWNING M1919"":1,""155MM HOWITZER [M114]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561199212629273","Zywa小树人","43","78","0.55","3","0.49","0.88","12","0","1","1","197","19","{""(WTH) KAISER Mtbb"":2,""(WTH) Dorbian"":3,""(WTH) Alf"":5,""(WTH) Zhong Xina"":1,""(WTH) Guinness"":1,""(WTH) .spxnk"":3,""(WTH) Desper"":1,""🅷 (WTH) matziti"":13,""Lazei"":1,""(WTH) DrDoof"":2,""(WTH) AlexGZ"":1,""(WTH) Slappy"":7,""(WTH) Conor"":3,""(WTH) Drachi ッ"":1,""(WTH) ya boy"":3,""(WTH) J4nnis"":2,""(WTH) GingerSlushii"":1,""(WTH) Junior你狗屎"":2,""(WTH) ㋡ Crusaderxx ❀"":3,""(WTH) MDMaris"":3,""(WTH) era"":1,""(WTH) Zota"":1,""(WTH) Wolfi"":1,""(WTH) ✯Kongo"":2,""(WTH) GØBLYAXX ❀"":7,""(WTH) gavrich"":3,""(WTH) GΣRMANXX ❀"":3,""(WTH)✨ Tourop ✨"":2}","{""(WTH) KAISER Mtbb"":1,""(WTH) Dorbian"":1,""(WTH) Alf"":3,""(WTH) Desper"":1,""🅷 (WTH) matziti"":2,""Lazei"":2,""(WTH) AlexGZ"":3,""(WTH) Slappy"":2,""(WTH) Conor"":1,""(WTH) Drachi ッ"":1,""(WTH) ya boy"":1,""(WTH) J4nnis"":1,""(WTH) Lehtikylä"":2,""(WTH) Junior你狗屎"":3,""(WTH) MDMaris"":1,""(WTH) era"":5,""(WTH) Sgt. Rico"":1,""(WTH) Wolfi"":1,""(WTH) ✯Kongo"":2,""(WTH) GØBLYAXX ❀"":5,""(WTH) GΣRMANXX ❀"":4}","272","1102","820","180","{""M1 GARAND"":43}","{""STG44"":5,""GEWEHR 43"":30,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":3,""SATCHEL"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":16,""KARABINER 98K"":4,""FG42 x4"":12,""MP40"":2}"
"76561198084140283","[WTH] Mike Lawry 유","54","52","1.04","8","0.63","0.61","5","0","1","1","433","16","{""🅲ˇ三个点ˇ"":2,""🅲ˇVergissmeinnicht"":1,""🅲ˇFirst Baturuˇ"":1,""🅲ˇRookie"":3,""🅲 ˇ 脑袋不空空的如也酱 ˇ"":1,""🅲 ˆ Seer ˆ"":2,""🅲ˇWuHuLoveYoonaˇ"":6,""🅲ˇmONESY666∞⚡"":2,""🅲ˇElixir_小国ˇ"":3,""🅲ˇManagerˇ"":2,""Oasis"":1,""🅲ˇAlituofo小女孩ˇ"":2,""🅲ˇ晨洋ˇBABA"":1,""莽皮坨冠军"":1,""🅲ˇ黑夜不过白昼ˇ"":3,""🅲ˇTony9478"":2,""🅲ˇLancerzzzˇ"":1,""🅲ˇ抢镜的最佳路人"":8,""突破王"":2,""leo.messi"":3,""🅲ˇ薇尔莉特Violetˇ"":2,""🅲ˇ空均宇ˇ"":1,""🅲ˇSleep a Summerˇ"":2}","{""🅲ˇ西德4000ˇ"":2,""🅲ˇVergissmeinnicht"":1,""🅲ˇFirst Baturuˇ"":2,""🅲ˇHalloween∞ˇ"":1,""🅲ˇWuHuLoveYoonaˇ"":3,""🅲ˇmONESY666∞⚡"":1,""🅲ˇ8da2kˇ"":2,""🅲ˇElixir_小国ˇ"":2,""🅲ˇManagerˇ"":2,""🅲ˇ真白shinakoˇ"":2,""🅲ˇAlituofo小女孩ˇ"":5,""🅲ˇSUNˇ"":1,""Donk666"":2,""chebelFIOR"":2,""🅲ˇ晨洋ˇBABA"":2,""莽皮坨冠军"":1,""🅲ˇ黑夜不过白昼ˇ"":1,""🅲ˇTony9478"":1,""🅲ˇ捷森猪猪Jason_piggyˇ"":1,""🅲ˇLancerzzzˇ"":1,""🅲ˇ石崎川ˇ"":2,""Kobe Bryant"":2,""Nagawa"":2,""突破王"":1,""leo.messi"":1,""🅲ˇaYa~Loongya！"":1,""🅲ˇ薇尔莉特Violetˇ"":6,""🅲ˇ空均宇ˇ"":1,""🅲ˇ小七se7enˇ"":3}","455","1125","300","1020","{""MP40"":13,""GEWEHR 43"":41}","{""155MM HOWITZER [M114]"":8,""M1A1 THOMPSON"":2,""75MM CANNON [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":4,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""BAZOOKA"":1,""M1 CARBINE"":2,""M1 GARAND"":31}"
"76561198448722316","🅲 ˇ 脑袋不空空的如也酱 ˇ","60","7","8.57","19","0.7","0.08","2","3","0","0","1394","161","{""(WTH) Zota"":1,""(wth) Lenny"":2,""(WTH) AlexGZ"":1,""(CCP) RisingZedong"":1,""(WTH)✨ Tourop ✨"":2}","{""(WTH) KAISER Mtbb"":2,""(WTH) ByteSized"":1,""(WTH) Dorbian"":2,""(WTH) Alf"":2,""(WTH) Ginger"":1,""(wth) Trotche"":1,""(WTH) Zhong Xina"":2,""(WTH) Neffex"":1,""(WTH) Guinness"":1,""(WTH) Desper"":2,""(WTH) BABY SharK ｼ 2.0"":3,""(wth) Lenny"":1,""(WTH) DrDoof"":4,""(WTH) AlexGZ"":2,""(WTH)Watsonater3000"":1,""(WTH) blue 鸡肉面"":1,""(WTH) J4nnis"":4,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":3,""(WTH) HoneyBadger"":1,""[WTH] Mike Lawry 유"":1,""(WTH) Junior你狗屎"":4,""(WTH) ㋡ Crusaderxx ❀"":4,""(WTH) MDMaris"":1,""(WTH) era"":3,""(WTH) Sgt. Rico"":2,""(WTH) Zota"":3,""(WTH) Wolfi"":2,""(WTH) ✯Kongo"":1,""(WTH) GØBLYAXX ❀"":1,""(WTH)✨ Tourop ✨"":2}","748","20","1600","80","{""M6 37mm [M8 Greyhound]"":15,""COAXIAL M1919 [M8 Greyhound]"":1,""75MM CANNON [Sherman M4A3(75)W]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":19,""COAXIAL M1919 [Sherman M4A3(75)W]"":7,""COAXIAL M1919 [Sherman M4A3E2(76)]"":16}","{""PANZERSCHRECK"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561198360995504","🅲 ˆ Seer ˆ","33","12","2.75","12","0.39","0.14","3","1","0","0","1329","42","{""(WTH) KAISER Mtbb"":1,""(WTH) Desper"":2,""(wth) Lenny"":1,""(WTH) Slappy"":1,""(WTH) Conor"":1,""(WTH) GingerSlushii"":1,""(CCP) RisingZedong"":1,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) Critical"":1,""(WTH) gavrich"":1,""(WTH)✨ Tourop ✨"":1}","{""(WTH) KAISER Mtbb"":1,""(CCP) Harry"":1,""(WTH) ByteSized"":1,""(WTH) Dorbian"":2,""(WTH) Alf"":3,""(WTH) Zhong Xina"":1,""(WTH) .spxnk"":1,""(WTH) Desper"":1,""🅷 (WTH) matziti"":1,""(wth) Lenny"":1,""(WTH) John ツ"":1,""(WTH) DrDoof"":1,""(WTH) Drachi ッ"":2,""(WTH) blue 鸡肉面"":1,""(WTH) GingerSlushii"":2,""(WTH) Stoom"":1,""[WTH] Mike Lawry 유"":2,""(WTH) Junior你狗屎"":1,""(CCP) WONIU FAN"":1,""(WTH) era"":1,""(WTH) Zota"":2,""(WTH) Raptor uK™"":1,""(WTH) Wolfi"":2,""(WTH) GØBLYAXX ❀"":1,""(WTH)✨ Tourop ✨"":1}","677","40","1560","20","{""M1 GARAND"":2,""MK2 GRENADE"":1,""M1A1 THOMPSON"":3,""TELLERMINE 43"":1,""75MM CANNON [Sherman M4A3(75)W]"":4,""76MM M1 GUN [Sherman M4A3E2(76)]"":18,""COAXIAL M1919 [Sherman M4A3E2(76)]"":4}","{""MG42"":2,""GEWEHR 43"":1,""PANZERSCHRECK"":4,""PRECISION STRIKE"":1,""150MM HOWITZER [sFH 18]"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561197972222958","Lazei","37","54","0.69","7","0.43","0.63","6","0","1","1","604","23","{""🅲ˇ三个点ˇ"":3,""🅲ˇThree3ˇ"":1,""🅲ˇVergissmeinnicht"":6,""🅲ˇHalloween∞ˇ"":1,""🅲ˇ音尘绝"":1,""🅲ˇWuHuLoveYoonaˇ"":1,""🅲ˇ8da2kˇ"":1,""🅲ˇElixir_小国ˇ"":3,""🅲ˇManagerˇ"":1,""Oasis"":3,""🅲ˇ真白shinakoˇ"":4,""🅲ˇAlituofo小女孩ˇ"":1,""chebelFIOR"":1,""Zywa小树人"":2,""🅲ˇ晨洋ˇBABA"":1,""莽皮坨冠军"":3,""🅲ˇ黑夜不过白昼ˇ"":2,""🅲ˇTony9478"":3,""🅲ˇ捷森猪猪Jason_piggyˇ"":3,""🅲ˇ石崎川ˇ"":1,""Nagawa"":3,""🅲ˇ抢镜的最佳路人"":1,""🅲ˇ薇尔莉特Violetˇ"":2,""2Teng"":4,""🅲ˇSleep a Summerˇ"":2}","{""🅲ˇVergissmeinnicht"":4,""🅲ˇHalloween∞ˇ"":1,""🅲ˇRookie"":1,""🅲ˇWuHuLoveYoonaˇ"":2,""🅲ˇElixir_小国ˇ"":2,""🅲ˇManagerˇ"":3,""Oasis"":3,""🅲ˇ真白shinakoˇ"":3,""chebelFIOR"":1,""Zywa小树人"":1,""🅲ˇ晨洋ˇBABA"":2,""🅲ˇ黑夜不过白昼ˇ"":3,""🅲ˇ捷森猪猪Jason_piggyˇ"":1,""🅲ˇ石崎川ˇ"":1,""Nagawa"":1,""leo.messi"":4,""🅲ˇ薇尔莉特Violetˇ"":3,""𝓢𝓧-𝓲𝓪𝓷𝓰"":1}","291","865","440","820","{""GEWEHR 43"":37}","{""155MM HOWITZER [M114]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":6,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""COAXIAL M1919 [Sherman M4A3(75)W]"":1,""M1 CARBINE"":1,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":39,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561199305321065","Nagawa","87","95","0.92","7","1.02","1.11","11","0","1","1","211","17","{""(WTH) KAISER Mtbb"":2,""(WTH) Alf"":4,""(WTH) Zhong Xina"":2,""(WTH) Guinness"":5,""(WTH) .spxnk"":1,""(WTH) Desper"":1,""(WTH) delete"":1,""🅷 (WTH) matziti"":7,""Lazei"":1,""(WTH) DrDoof"":1,""(WTH) AlexGZ"":7,""(WTH) Slappy"":10,""(WTH) Conor"":3,""(WTH) Drachi ッ"":3,""(WTH) ya boy"":2,""(WTH) J4nnis"":1,""(WTH) Lehtikylä"":1,""[WTH] Mike Lawry 유"":2,""(WTH) Junior你狗屎"":1,""(WTH) ㋡ Crusaderxx ❀"":3,""(WTH) MDMaris"":6,""(WTH) era"":6,""(WTH) Sgt. Rico"":4,""(WTH) Wolfi"":2,""(WTH) ✯Kongo"":5,""(WTH) GØBLYAXX ❀"":7,""(WTH) gavrich"":1,""(WTH) GΣRMANXX ❀"":5,""(WTH)✨ Tourop ✨"":1}","{""(WTH) KAISER Mtbb"":2,""(WTH) Dorbian"":2,""(WTH) Alf"":2,""(WTH) Voape"":1,""(WTH) Zhong Xina"":5,""(WTH) Guinness"":6,""(WTH) .spxnk"":2,""(WTH) Desper"":1,""(WTH) delete"":1,""(WTH) BABY SharK ｼ 2.0"":1,""🅷 (WTH) matziti"":7,""Lazei"":3,""(WTH) DrDoof"":1,""(WTH) AlexGZ"":3,""(WTH) Slappy"":2,""(WTH) Conor"":5,""(WTH) Drachi ッ"":4,""(WTH) blue 鸡肉面"":1,""(WTH) J4nnis"":1,""(WTH) GingerSlushii"":3,""(WTH) Lehtikylä"":3,""(WTH) Junior你狗屎"":3,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) MDMaris"":5,""(WTH) Critical"":1,""(WTH) era"":5,""(WTH) Raptor uK™"":2,""(WTH) Wolfi"":3,""(WTH) GØBLYAXX ❀"":9,""(WTH) GΣRMANXX ❀"":2}","643","139","800","180","{""M1 GARAND"":87}","{""MG42"":20,""MP40"":3,""STG44"":10,""FG42 x4"":11,""GEWEHR 43"":42,""KARABINER 98K"":7,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198108725268","(wth) Lenny","19","3","6.33","7","0.22","0.04","1","2","0","0","2592","805","{""🅲ˇ8da2kˇ"":1,""🅲 ˆ Seer ˆ"":1,""🅲 ˇ 脑袋不空空的如也酱 ˇ"":1}","{""🅲ˇ三个点ˇ"":1,""🅲 ˇWONIUˇ"":1,""🅲ˇ西德4000ˇ"":3,""🅲ˇVergissmeinnicht"":2,""🅲ˇHalloween∞ˇ"":1,""🅲 ˇ 脑袋不空空的如也酱 ˇ"":2,""🅲 ˆ Seer ˆ"":1,""🅲ˇElixir_小国ˇ"":1,""🅲 ˇ特纳ˇ"":1,""🅲ˇ晨洋ˇBABA"":1,""🅲ˇ303_Lcdˇ"":1,""乔小乔"":1,""2Teng"":1,""𝓢𝓧-𝓲𝓪𝓷𝓰"":1,""🅲ˇ空均宇ˇ"":1}","603","50","1240","480","{""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":4,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":11}","{""PRECISION STRIKE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198239067496","周茂凯","45","62","0.73","8","0.53","0.73","8","0","0","0","389","25","{""(WTH) Dorbian"":1,""(WTH) Alf"":3,""(WTH) Guinness"":5,""(WTH) .spxnk"":2,""🅷 (WTH) matziti"":1,""(WTH) DrDoof"":1,""(WTH) AlexGZ"":2,""(WTH) Slappy"":6,""(WTH) Conor"":6,""(WTH) ya boy"":4,""(WTH) Lehtikylä"":1,""(WTH) MDMaris"":1,""(WTH) Critical"":1,""(WTH) era"":4,""(WTH) Sgt. Rico"":1,""(WTH) Zota"":2,""(WTH) Raptor uK™"":1,""(WTH) Wolfi"":1,""(WTH) ✯Kongo"":7,""(WTH) GØBLYAXX ❀"":3,""(WTH) gavrich"":5,""(WTH) GΣRMANXX ❀"":4}","{""(WTH) KAISER Mtbb"":1,""(WTH) Dorbian"":1,""(WTH) Alf"":2,""(WTH) Zhong Xina"":6,""(WTH) Guinness"":8,""(WTH) BABY SharK ｼ 2.0"":1,""🅷 (WTH) matziti"":1,""(WTH) DrDoof"":1,""(WTH) AlexGZ"":1,""(WTH) Slappy"":4,""(WTH)Watsonater3000"":1,""(WTH) Conor"":1,""(WTH) GingerSlushii"":2,""(WTH) Lehtikylä"":2,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) MDMaris"":3,""(WTH) era"":2,""(WTH) Raptor uK™"":1,""(WTH) Wolfi"":2,""(WTH) ✯Kongo"":1,""(WTH) GØBLYAXX ❀"":1,""(WTH) GΣRMANXX ❀"":2}","305","2795","780","300","{""M1 GARAND"":29,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""M1903 SPRINGFIELD"":14}","{""STG44"":8,""GEWEHR 43"":26,""150MM HOWITZER [sFH 18]"":5,""M43 STIELHANDGRANATE"":1,""SATCHEL"":1,""MG42"":16,""KARABINER 98K"":2,""FG42 x4"":2,""MP40"":1}"
"76561198021448017","(WTH) Voape","11","28","0.39","3","0.13","0.33","10","0","0","0","772","19","{""🅲ˇ三个点ˇ"":1,""🅲ˇThree3ˇ"":1,""🅲ˇVergissmeinnicht"":1,""🅲ˇFirst Baturuˇ"":4,""🅲ˇWuHuLoveYoonaˇ"":5,""Donk666"":8,""🅲ˇ捷森猪猪Jason_piggyˇ"":2,""Nagawa"":1,""🅲ˇ抢镜的最佳路人"":3,""突破王"":1,""🅲ˇSleep a Summerˇ"":1}","{""Khonsu"":2,""Donk666"":2,""🅲ˇ8da2kˇ"":1,""莽皮坨冠军"":1,""🅲ˇヅ KÖalaˇ"":2,""🅲ˇFirst Baturuˇ"":2,""🅲ˇVergissmeinnicht"":1}","111","1163","240","1180","{""GEWEHR 43"":10,""M43 STIELHANDGRANATE"":1}","{""BAZOOKA"":1,""M1 GARAND"":21,""BROWNING M1919"":1,""M97 TRENCH GUN"":1,""155MM HOWITZER [M114]"":3,""37MM CANNON [Stuart M5A1]"":1}"
"76561198153212339","🅲ˇ空均宇ˇ","45","81","0.56","5","0.53","0.95","9","1","1","1","246","22","{""(WTH) KAISER Mtbb"":6,""(WTH) Dorbian"":1,""(WTH) Alf"":1,""(WTH) Zhong Xina"":1,""(WTH) Guinness"":1,""(WTH) .spxnk"":1,""(WTH) Desper"":1,""🅷 (WTH) matziti"":5,""(wth) Lenny"":1,""(WTH) DrDoof"":2,""(WTH) AlexGZ"":4,""(WTH) Slappy"":6,""(WTH) Conor"":6,""(WTH) ya boy"":7,""(WTH) blue 鸡肉面"":1,""(WTH) J4nnis"":2,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":1,""[WTH] Mike Lawry 유"":1,""(WTH) Junior你狗屎"":1,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) MDMaris"":2,""(WTH) era"":6,""(WTH) Sgt. Rico"":4,""(WTH) Zota"":1,""(WTH) Wolfi"":2,""(WTH) ✯Kongo"":4,""(WTH) GØBLYAXX ❀"":4,""(WTH) gavrich"":4,""(WTH) GΣRMANXX ❀"":2,""(WTH)✨ Tourop ✨"":1}","{""(WTH) KAISER Mtbb"":2,""(WTH) Alf"":1,""(WTH) Guinness"":5,""🅷 (WTH) matziti"":2,""(WTH) DrDoof"":1,""(WTH) AlexGZ"":2,""(WTH)Watsonater3000"":1,""(WTH) Conor"":2,""(WTH) ya boy"":2,""(WTH) blue 鸡肉面"":2,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":1,""[WTH] Mike Lawry 유"":1,""(WTH) Junior你狗屎"":1,""(WTH) MDMaris"":3,""(WTH) era"":2,""(WTH) Sgt. Rico"":2,""(WTH) Wolfi"":1,""(WTH) ✯Kongo"":3,""(WTH) GØBLYAXX ❀"":7,""(WTH) GΣRMANXX ❀"":2,""(WTH)✨ Tourop ✨"":1}","368","0","780","220","{""BAZOOKA"":1,""SATCHEL"":3,""M1 GARAND"":37,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":3}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":10,""GEWEHR 43"":28,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":4,""FELDSPATEN"":1,""M43 STIELHANDGRANATE"":1,""SATCHEL"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":16,""KARABINER 98K"":3,""FG42 x4"":9,""MP40"":2}"
"76561197969327572","🅲ˇTony9478","65","34","1.91","17","0.76","0.4","5","0","0","0","1011","22","{""(WTH) KAISER Mtbb"":1,""(WTH) Dorbian"":1,""(WTH) Alf"":2,""(WTH) Zhong Xina"":2,""(WTH) .spxnk"":3,""(WTH) Desper"":1,""(WTH) delete"":2,""(WTH) John ツ"":2,""(WTH) AlexGZ"":1,""(WTH) Slappy"":1,""(WTH)Watsonater3000"":2,""(WTH) Conor"":1,""(WTH) ya boy"":3,""[WTH] Mike Lawry 유"":1,""(CCP) RisingZedong"":1,""(WTH) Junior你狗屎"":1,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTH) Sgt. Rico"":4,""(WTH) Zota"":1,""(WTH) GØBLYAXX ❀"":1,""(WTH) gavrich"":1,""(WTH) GΣRMANXX ❀"":1}","{""(WTH) Alf"":1,""(WTH) Zhong Xina"":3,""(WTH) Neffex"":4,""(WTH) .spxnk"":8,""(WTH) Desper"":1,""(WTH) delete"":6,""(WTH) BABY SharK ｼ 2.0"":4,""🅷 (WTH) matziti"":1,""Lazei"":3,""(WTH) John ツ"":4,""(WTH) AlexGZ"":2,""(WTH) Slappy"":2,""(WTH)Watsonater3000"":4,""(WTH) ya boy"":2,""(WTH) GingerSlushii"":1,""(WTH) Lehtikylä"":1,""(WTH) Stoom"":1,""[WTH] Mike Lawry 유"":2,""(WTH) ㋡ Crusaderxx ❀"":2,""(WTH) Zota"":5,""(WTH) Raptor uK™"":5,""(WTH) Wolfi"":1,""(WTH) GØBLYAXX ❀"":2}","512","0","1240","100","{""COLT M1911"":1,""BROWNING M1919"":64}","{""MG42"":6,""MP40"":1,""STG44"":1,""FG42 x4"":4,""GEWEHR 43"":16,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
