"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198280295436","MS | Major WakandaPerhaps","189","0","189","189","2.21","0","0","20","0","0","0","9999","{}","{""|HTD| .koR"":1,""[GR-3] | Spezialforcefigh"":1,""|HTD| ЯedBuﾚﾚ™"":11,""|HTD| P  S  E"":1,""🅶 I|I Fred._."":1,""|HTD| Albert Hofmann"":3,""|HTD| Enzo™"":1,""|HTDB| Tobsky"":1,""|HTD| Gummifuchs"":13,""|HTD| HydrantenWilli"":14,""|HTD| Pitter"":8,""🅶inny Weasley"":1,""|HTD| Calli"":4,""|HTD| Dobby"":1,""|HTD| julo"":10,""|HTD| mac"":1,""|HTD| OpenAirAmMeer"":11,""|HTD| Checky"":1,""|HTD| Warpy"":1,""Leberwurstbrot"":7,""|HTD| Haroon"":15,""TURBO JUERGEN"":11,""|HTDB| Dr.Dok†orus"":9,""|HTD| Desty89"":12,""|HTD| Knubbel"":7,""|HTD| X3ON"":8,""|HTD| KellerKind"":18,""|HTDB| _Nebelmacher_"":5,""Banjo Bo Wilson"":12}","1615","0","1780","0","{""155MM HOWITZER [M114]"":189}","{}"
"76561198119808172","'-TL-GIRLCOCKSUPREME","26","56","0.46","3","0.3","0.66","13","1","0","0","249","16","{""|HTD| .koR"":1,""|HTD| ЯedBuﾚﾚ™"":1,""|HTD| Albert Hofmann"":1,""|HTD| Enzo™"":2,""|HTD| Gummifuchs"":1,""|HTD| HydrantenWilli"":2,""|HTD| Pitter"":3,""|HTD| Mojo"":3,""🅶inny Weasley"":2,""|HTD| Calli"":1,""|HTD| Dobby"":2,""|HTD| julo"":5,""|HTD| OpenAirAmMeer"":2,""Leberwurstbrot"":1,""|HTD| Haroon"":2,""🅶 I|I S|nCe"":2,""|HTDB| Dr.Dok†orus"":1,""|HTD| Knubbel"":1,""|HTD| Wazlav Khan"":18,""|HTD| Beaker"":1,""|HTD| X3ON"":1,""|HTD| KellerKind"":1,""|HTDB| _Nebelmacher_"":2}","{""|HTD| Gummifuchs"":3,""|HTD| HydrantenWilli"":4,""|HTD| Pitter"":2,""🅶inny Weasley"":1,""|HTD| Calli"":1,""|HTD| OpenAirAmMeer"":1,""|HTD| Checky"":1,""|HTD| Haroon"":3,""|HTDB| Dr.Dok†orus"":2,""|HTD| Desty89"":2,""|HTD| X3ON"":2,""|HTD| KellerKind"":2,""|HTDB| _Nebelmacher_"":1,""Banjo Bo Wilson"":1}","194","1171","1120","100","{""M1 GARAND"":26}","{""75MM CANNON [PAK 40]"":1,""STG44"":5,""GEWEHR 43"":18,""UNKNOWN"":1,""BOMBING RUN"":1,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":18,""STRAFING RUN"":1,""MG42"":2,""KARABINER 98K"":3,""FG42 x4"":3,""MP40"":2}"
"76561199083606250","MS | Brother9","70","47","1.49","9","0.82","0.55","5","0","0","0","478","16","{""|HTD| ByZancE420"":2,""|HTD| .koR"":1,""|HTD| Shape"":1,""|HTD| ЯedBuﾚﾚ™"":6,""|HTD| Albert Hofmann"":4,""🅶 I|I Doomz'"":1,""|HTD| Flare Schlampe"":1,""🅶inny Weasley"":1,""|HTD| Calli"":4,""|HTD| julo"":4,""|HTD| mac"":3,""|HTD| Squanchy"":2,""|HTD| OpenAirAmMeer"":1,""|HTD| Warpy"":2,""🅶 I|I SoRRoW"":1,""|HTD| Haroon"":1,""TURBO JUERGEN"":4,""|HTD| Desty89"":1,""|HTD| Knubbel"":1,""|HTD| X3ON"":1,""|HTD| Radio"":1,""|HTD| KellerKind"":1,""james8nx"":1,""Banjo Bo Wilson"":2}","{""|HTD| ByZancE420"":3,""|HTD| .koR"":2,""[GR-3] | Spezialforcefigh"":4,""|HTD| Shape"":1,""|HTD| ЯedBuﾚﾚ™"":2,""🅶 I|I Sierra"":2,""|HTD| Albert Hofmann"":1,""|HTDB| Tobsky"":3,""|HTD| Gummifuchs"":3,""ele[xus]"":3,""|HTD| HydrantenWilli"":3,""|HTD| Pitter"":1,""|HTD| Flare Schlampe"":2,""🅶 I|I Kleriker85"":1,""🅶inny Weasley"":2,""|HTD| Calli"":2,""|HTD| Dobby"":1,""|HTD| julo"":2,""|HTD| Squanchy"":3,""|HTD| OpenAirAmMeer"":3,""|HTD| Checky"":1,""|HTD| Warpy"":2,""🅶 I|I Sengyr"":2,""Leberwurstbrot"":2,""|HTD| Haroon"":2,""🅶 I|I S|nCe"":1,""|HTDB| Dr.Dok†orus"":1,""|HTD| Desty89"":2,""|HTD| Beaker"":1,""|HTD| X3ON"":4,""|HTD| KellerKind"":1,""SGC | ziegeli"":2,""|HTDB| _Nebelmacher_"":1,""james8nx"":1,""Banjo Bo Wilson"":3}","946","225","520","600","{""SATCHEL"":7,""UNKNOWN"":1,""M1 GARAND"":48,""COLT M1911"":1,""MK2 GRENADE"":1,""M1A1 THOMPSON"":11,""BROWNING M1919"":1}","{""MG42"":9,""MP40"":3,""STG44"":4,""FG42 x4"":1,""GEWEHR 43"":24,""KARABINER 98K"":3,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1}"
"76561198350889564","|HTD| Enzo™","101","61","1.66","15","1.18","0.71","5","0","0","0","281","25","{""TL NinxDrag"":1,""🅼🅴🅻🅻🅾🆆"":2,""-TL- 3fm"":1,""Hellbro"":3,""MS | Armin"":1,""Data"":2,""ass vandal"":4,""MS | Mars' ^^"":6,""Bri*isH"":3,""- TL - Alex Von Doom"":1,""MS | Soldaad"":3,""-TL- Tigers0204"":10,""MS | Major WakandaPerhaps"":1,""mommy"":2,""GAS"":1,""Fuze"":3,""Galtia"":4,""-TL- rik"":2,""Vadiii."":1,""DooperDupinskie"":3,""-TL- Deic1de"":7}","{""TL NinxDrag"":9,""-TL-GIRLCOCKSUPREME"":2,""🅼🅴🅻🅻🅾🆆"":4,""-TL- 3fm"":2,""Hellbro"":5,""MS | Armin"":1,""-TL- Trance"":2,""Data"":2,""ass vandal"":1,""MS | Mars' ^^"":6,""Ω Stealthyy"":1,""вит | Pyrochemist"":1,""-TL- G Ø L D S T A R"":3,""MS | Soldaad"":3,""-TL- Tigers0204"":14,""-TL-BrazilianCat"":1,""-TL- Use The PIAT!"":1,""mommy"":7,""-TL- Monster_Corndog"":3,""GAS"":1,""Fuze"":7,""Galtia"":8,""-TL- rik"":2,""Vadiii."":4,""DooperDupinskie"":3,""-TL- Deic1de"":8}","810","0","360","860","{""S-MINE"":3,""FG42 x4"":98}","{""155MM HOWITZER [M114]"":1,""M1918A2 BAR"":2,""M1A1 THOMPSON"":1,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":2,""BROWNING M1919"":6,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""M3 GREASE GUN"":1,""M1 CARBINE"":1,""M6 37mm [M8 Greyhound]"":4,""M1 GARAND"":40}"
"76561198995756786","SGC | ziegeli","7","12","0.58","2","0.08","0.14","5","0","1","1","1516","23","{""Data"":3,""Fuze"":1,""Dr Spetz"":5,""-TL- MACK"":1,""MS | Brother9"":2}","{""Data"":1,""Dr Spetz"":3,""-TL- MACK"":1,""-TL- Use The PIAT!"":2}","131","334","1560","0","{""GEWEHR 43"":7}","{""M1 GARAND"":7,""COLT M1911"":1,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":2}"
"2f7af29cde020c87328fcf9ee2b8e1fa","TL NinxDrag","32","45","0.71","4","0.38","0.53","7","0","0","0","576","18","{""|HTD| .koR"":1,""|HTD| ЯedBuﾚﾚ™"":2,""🅶 I|I Fred._."":4,""|HTD| Enzo™"":9,""|HTD| Gummifuchs"":1,""ele[xus]"":1,""|HTD| HydrantenWilli"":1,""|HTD| Pitter"":1,""|HTD| Mojo"":2,""🅶 I|I Kleriker85"":1,""🅶inny Weasley"":2,""|HTD| CptKirmes"":1,""|HTD| Dobby"":1,""|HTD| julo"":1,""|HTD| mac"":1,""|HTD| Checky"":1,""|HTD| Warpy"":3,""🅶 I|I SoRRoW"":1,""🅶 I|I S|nCe"":3,""|HTD| Knubbel"":2,""|HTD| Wazlav Khan"":4,""|HTD| X3ON"":1,""|HTD| Radio"":1}","{""|HTD| .koR"":3,""|HTD| P  S  E"":1,""🅶 I|I Fred._."":2,""|HTD| Albert Hofmann"":1,""|HTD| Enzo™"":1,""ele[xus]"":1,""|HTD| Pitter"":3,""|HTD| Mojo"":3,""🅶 I|I Kleriker85"":1,""|HTD| Calli"":1,""|HTD| CptKirmes"":2,""|HTD| julo"":3,""|HTD| Checky"":2,""Leberwurstbrot"":1,""|HTD| Haroon"":1,""TURBO JUERGEN"":1,""|HTD| Knubbel"":1,""|HTD| Radio"":3,""|HTDB| _Nebelmacher_"":1}","280","150","1080","0","{""M1 GARAND"":26,""M1 CARBINE"":1,""BROWNING M1919"":5}","{""MG42"":7,""MP40"":1,""STG44"":4,""FG42 x4"":11,""SATCHEL"":1,""GEWEHR 43"":16,""KARABINER 98K"":1,""150MM HOWITZER [sFH 18]"":4}"
"76561198000431261","|HTD| julo","65","66","0.98","7","0.74","0.75","8","0","2","1","311","18","{""Palustris"":5,""TL NinxDrag"":3,""🅼🅴🅻🅻🅾🆆"":2,""-TL- 3fm"":1,""-TL- bic"":1,""-TL- Trance"":3,""Data"":3,""ass vandal"":1,""MS | Mars' ^^"":1,""-TL- JVCK"":2,""Ω Stealthyy"":1,""puck"":1,""Bri*isH"":1,""MS | Major WakandaPerhaps"":10,""-TL- MACK"":2,""-TL-BrazilianCat"":2,""MS | Brother9"":2,""mommy"":1,""-TL- Monster_Corndog"":1,""GAS"":10,""Fuze"":3,""Galtia"":3,""Vadiii."":2,""DooperDupinskie"":1,""-TL- Deic1de"":4}","{""Palustris"":7,""TL NinxDrag"":1,""-TL-GIRLCOCKSUPREME"":5,""🅼🅴🅻🅻🅾🆆"":6,""-TL- 3fm"":1,""Hellbro"":1,""-TL- Trance"":2,""Ω Stealthyy"":2,""MS | ΜΓ.DΘ"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":1,""-TL-BrazilianCat"":4,""-TL- Use The PIAT!"":1,""MS | Brother9"":4,""mommy"":3,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":1,""GAS"":5,""Fuze"":5,""Galtia"":1,""Vadiii."":6,""DooperDupinskie"":3,""-TL- Deic1de"":2}","492","1401","480","600","{""GEWEHR 43"":63,""M43 STIELHANDGRANATE"":2}","{""155MM HOWITZER [M114]"":10,""M97 TRENCH GUN"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2,""M1903 SPRINGFIELD"":3,""BROWNING M1919"":5,""COLT M1911"":1,""BAZOOKA"":2,""M3 GREASE GUN"":1,""M1 GARAND"":40}"
"76561198411138208","|HTD| Flare Schlampe","33","37","0.89","4","0.39","0.43","3","0","0","0","365","17","{""-TL- 3fm"":4,""Hellbro"":1,""MS | Armin"":1,""-TL- bic"":4,""-TL- R3dbeard"":1,""-TL- Shane"":5,""-TL- JVCK"":2,""- TL - Alex Von Doom"":1,""вит | Pyrochemist"":3,""MS | Soldaad"":2,""-TL-BrazilianCat"":1,""MS | Brother9"":2,""Smurf | 我種藍莓"":7,""-TL- Peif_Rimgarr"":3}","{""🅼🅴🅻🅻🅾🆆"":1,""-TL- 3fm"":1,""Hellbro"":1,""-TL- bic"":2,""-TL- Shane"":5,""Ω Stealthyy"":1,""вит | Pyrochemist"":7,""-TL- G Ø L D S T A R"":2,""MS | Soldaad"":3,""-TL- MACK"":2,""-TL-BrazilianCat"":1,""MS | Brother9"":1,""Smurf | 我種藍莓"":4,""-TL- Peif_Rimgarr"":2}","393","468","200","1160","{""MP40"":1,""KARABINER 98K"":32}","{""M1 GARAND"":28,""M1 CARBINE"":2,""M2 AP MINE"":1,""M1A1 THOMPSON"":2,""37MM CANNON [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198041224149","'-TL- JVCK","87","1","87","61","1.02","0.01","1","1","0","0","872","872","{""|HTD| OpenAirAmMeer"":1}","{""|HTD| .koR"":2,""[GR-3] | Spezialforcefigh"":1,""|HTD| Shape"":2,""|HTD| ЯedBuﾚﾚ™"":4,""🅶 I|I Sierra"":2,""|HTD| Albert Hofmann"":2,""|HTDB| Tobsky"":1,""|HTD| Gummifuchs"":7,""|HTD| HydrantenWilli"":3,""🅶 I|I Doomz'"":2,""|HTD| Pitter"":1,""|HTD| Mojo"":1,""|HTD| Flare Schlampe"":2,""🅶inny Weasley"":5,""|HTD| Calli"":4,""|HTD| Dobby"":1,""|HTD| julo"":2,""|HTD| Squanchy"":1,""|HTD| OpenAirAmMeer"":6,""🅶 I|I Sengyr"":2,""Leberwurstbrot"":2,""|HTD| Haroon"":4,""TURBO JUERGEN"":2,""|HTDB| Dr.Dok†orus"":2,""|HTD| Desty89"":2,""|HTD| Knubbel"":2,""|HTD| Beaker"":2,""|HTD| X3ON"":5,""|HTD| KellerKind"":6,""|HTDB| _Nebelmacher_"":2,""james8nx"":2,""Banjo Bo Wilson"":5}","1333","20","1460","140","{""Sd.Kfz.181 Tiger 1"":1,""75MM CANNON [Sherman M4A3(75)W]"":23,""76MM M1 GUN [Sherman M4A3E2(76)]"":46,""COAXIAL M1919 [Sherman M4A3(75)W]"":4,""COAXIAL M1919 [Sherman M4A3E2(76)]"":13}","{""PANZERSCHRECK"":1}"
"76561198185517603","'-TL- Shane","43","36","1.19","7","0.5","0.42","5","0","0","0","404","28","{""|HTD| ByZancE420"":2,""|HTD| ЯedBuﾚﾚ™"":2,""🅶 I|I Sierra"":1,""|HTD| Albert Hofmann"":3,""|HTDB| Tobsky"":1,""|HTD| Flare Schlampe"":5,""🅶inny Weasley"":4,""|HTD| Calli"":2,""|HTD| Squanchy"":1,""|HTD| Warpy"":1,""|HTDB| Dr.Dok†orus"":1,""|HTD| Desty89"":1,""|HTD| Wazlav Khan"":1,""|HTD| X3ON"":2,""|HTDB| _Nebelmacher_"":7,""james8nx"":1,""Banjo Bo Wilson"":1}","{""|HTD| ByZancE420"":1,""|HTD| ЯedBuﾚﾚ™"":6,""|HTD| Albert Hofmann"":4,""|HTD| Gummifuchs"":3,""ele[xus]"":3,""|HTD| HydrantenWilli"":1,""|HTD| Mojo"":1,""|HTD| Flare Schlampe"":5,""🅶inny Weasley"":4,""|HTD| Calli"":4,""|HTD| Dobby"":3,""|HTD| OpenAirAmMeer"":1,""🅶 I|I S|nCe"":1,""|HTD| Desty89"":1,""|HTD| X3ON"":1,""|HTDB| _Nebelmacher_"":4}","325","824","760","560","{""M1 GARAND"":43}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""GEWEHR 43"":16,""UNKNOWN"":1,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":2,""KARABINER 98K"":7,""FG42 x4"":4,""MP40"":1}"
"76561199050047542","|HTDB| _Nebelmacher_","42","60","0.7","8","0.49","0.7","8","0","1","1","343","21","{""Palustris"":1,""TL NinxDrag"":1,""-TL-GIRLCOCKSUPREME"":1,""-TL- 3fm"":1,""Hellbro"":4,""MS | Armin"":4,""-TL- bic"":5,""-TL- Trance"":1,""Data"":2,""-TL- Shane"":4,""-TL- JVCK"":2,""Ω Stealthyy"":1,""puck"":3,""Bri*isH"":1,""вит | Pyrochemist"":1,""-TL- Koleto"":1,""-TL- Tigers0204"":1,""MS | Major WakandaPerhaps"":5,""-TL- MACK"":6,""-TL-BrazilianCat"":1,""MS | Brother9"":1,""Smurf | 我種藍莓"":4,""GAS"":2,""Fuze"":1,""-TL- Peif_Rimgarr"":1,""Dr Spetz"":2,""-TL- Potato"":3}","{""-TL-GIRLCOCKSUPREME"":2,""MS | Armin"":4,""-TL- bic"":4,""-TL- Trance"":4,""-TL- Shane"":7,""Ω Stealthyy"":1,""вит | Pyrochemist"":1,""-TL- Tigers0204"":2,""-TL- MACK"":2,""-TL-BrazilianCat"":3,""-TL- Monster_Corndog"":2,""GAS"":1,""Fuze"":1,""Galtia"":1,""-TL- Peif_Rimgarr"":1,""Vadiii."":4,""-TL- Potato"":2}","308","280","500","500","{""MG42"":3,""UNKNOWN"":1,""GEWEHR 43"":37,""BOMBING RUN"":1}","{""155MM HOWITZER [M114]"":5,""M1A1 THOMPSON"":2,""MK2 GRENADE"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":3,""HULL M1919 [Sherman M4A3E2(76)]"":1,""M2 AP MINE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3(75)W]"":1,""M1 CARBINE"":4,""M1 GARAND"":40}"
"76561198104319094","'-TL- Potato","40","41","0.98","7","0.47","0.48","6","0","0","0","580","20","{""|HTD| ЯedBuﾚﾚ™"":9,""|HTD| Mojo"":2,""🅶inny Weasley"":1,""|HTD| Calli"":1,""|HTD| Dobby"":2,""|HTD| Checky"":3,""Leberwurstbrot"":1,""|HTD| Haroon"":1,""TURBO JUERGEN"":2,""🅶 I|I S|nCe"":1,""|HTD| Wazlav Khan"":9,""|HTD| X3ON"":4,""|HTD| Radio"":1,""|HTD| KellerKind"":2,""|HTDB| _Nebelmacher_"":2}","{""|HTD| ЯedBuﾚﾚ™"":4,""|HTD| Albert Hofmann"":2,""|HTD| Gummifuchs"":1,""ele[xus]"":2,""|HTD| HydrantenWilli"":1,""🅶 I|I Doomz'"":1,""|HTD| Pitter"":2,""|HTD| Calli"":2,""|HTD| OpenAirAmMeer"":2,""|HTD| Haroon"":3,""|HTDB| Dr.Dok†orus"":1,""|HTD| Desty89"":1,""|HTD| Knubbel"":2,""|HTD| X3ON"":5,""|HTD| KellerKind"":7,""|HTDB| _Nebelmacher_"":3,""Banjo Bo Wilson"":1}","277","937","1120","220","{""M1 GARAND"":40}","{""STG44"":4,""GEWEHR 43"":16,""BOMBING RUN"":1,""150MM HOWITZER [sFH 18]"":9,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""PRECISION STRIKE"":1,""MG42"":1,""KARABINER 98K"":5,""FG42 x4"":1,""MP40"":2}"
"76561199024869459","|HTD| Radio","49","39","1.26","7","0.57","0.46","4","0","0","0","391","31","{""Palustris"":1,""TL NinxDrag"":3,""🅼🅴🅻🅻🅾🆆"":2,""Hellbro"":4,""Data"":2,""ass vandal"":1,""MS | Mars' ^^"":4,""вит | Pyrochemist"":1,""-TL- G Ø L D S T A R"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":5,""-TL- Use The PIAT!"":1,""mommy"":2,""-TL- Monster_Corndog"":1,""Fuze"":1,""Galtia"":3,""DooperDupinskie"":4,""-TL- Deic1de"":2}","{""Palustris"":1,""TL NinxDrag"":1,""Hellbro"":4,""-TL- bic"":1,""Data"":2,""ass vandal"":1,""MS | Mars' ^^"":3,""-TL- G Ø L D S T A R"":4,""MS | Soldaad"":1,""-TL- Tigers0204"":8,""-TL- MACK"":1,""-TL- Use The PIAT!"":2,""MS | Brother9"":1,""mommy"":3,""GAS"":1,""Fuze"":1,""Galtia"":1,""Agar312"":1,""Vadiii."":1,""DooperDupinskie"":4,""-TL- Potato"":1,""-TL- Deic1de"":6}","400","519","260","1080","{""GEWEHR 43"":42,""M43 STIELHANDGRANATE"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":6}","{""M1918A2 BAR"":1,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":2,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":4,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":1,""M1 GARAND"":27}"
"76561198079470277","GAS","132","62","2.13","8","1.55","0.73","3","2","5","1","203","12","{""|HTD| ByZancE420"":1,""|HTD| .koR"":3,""|HTD| ЯedBuﾚﾚ™"":5,""|HTD| Enzo™"":1,""|HTD| Gummifuchs"":3,""|HTD| Pitter"":5,""|HTD| Mojo"":1,""🅶inny Weasley"":2,""|HTD| julo"":5,""|HTD| mac"":2,""|HTD| OpenAirAmMeer"":2,""|HTD| Checky"":1,""Leberwurstbrot"":4,""|HTD| Haroon"":3,""🅶 I|I S|nCe"":1,""|HTDB| Dr.Dok†orus"":1,""|HTD| Desty89"":4,""|HTD| Knubbel"":2,""|HTD| Wazlav Khan"":5,""|HTD| X3ON"":1,""|HTD| Radio"":1,""|HTD| KellerKind"":4,""|HTDB| _Nebelmacher_"":1,""Banjo Bo Wilson"":4}","{""|HTD| ByZancE420"":1,""|HTD| .koR"":10,""|HTD| ЯedBuﾚﾚ™"":3,""🅶 I|I Fred._."":3,""|HTD| Albert Hofmann"":1,""|HTD| Enzo™"":1,""|HTDB| Tobsky"":2,""|HTD| Gummifuchs"":7,""|HTD| HydrantenWilli"":3,""|HTD| Pitter"":8,""|HTD| Calli"":3,""|HTD| CptKirmes"":1,""|HTD| julo"":10,""|HTD| mac"":1,""|HTD| OpenAirAmMeer"":4,""|HTD| Checky"":1,""|HTD| Warpy"":1,""Leberwurstbrot"":11,""|HTD| Haroon"":13,""TURBO JUERGEN"":7,""|HTDB| Dr.Dok†orus"":1,""|HTD| Desty89"":8,""|HTD| Knubbel"":12,""|HTD| X3ON"":6,""|HTD| KellerKind"":6,""|HTDB| _Nebelmacher_"":2,""Banjo Bo Wilson"":6}","999","260","1000","120","{""BAZOOKA"":1,""M1 GARAND"":111,""M1918A2 BAR"":1,""MK2 GRENADE"":4,""M1903 SPRINGFIELD"":15}","{""STG44"":12,""GEWEHR 43"":22,""150MM HOWITZER [sFH 18]"":5,""SATCHEL"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""MG42"":6,""MG34"":2,""KARABINER 98K"":5,""FG42 x4"":3,""MP40"":5}"
"76561198162459427","[GR-3] | Spezialforcefigh","2","7","0.29","2","0.02","0.08","5","0","0","0","2144","43","{""-TL- JVCK"":1,""MS | Brother9"":4,""-TL-BrazilianCat"":1,""MS | Major WakandaPerhaps"":1}","{""puck"":1,""MS | Armin"":1}","460","0","1520","40","{""GEWEHR 43"":2}","{""M1 GARAND"":1,""M1A1 THOMPSON"":4,""155MM HOWITZER [M114]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1}"
"76561197961183029","|HTD| Shape","2","10","0.2","2","0.02","0.12","10","0","1","1","1035","96","{""Bri*isH"":2,""-TL- 3fm"":1,""-TL- bic"":1,""-TL- JVCK"":2,""MS | Brother9"":1,""- TL - Alex Von Doom"":2,""-TL- G Ø L D S T A R"":1}","{""MS | Brother9"":1,""DooperDupinskie"":1}","160","0","1280","260","{""MG34"":1,""MG42"":1}","{""BAZOOKA"":1,""SATCHEL"":1,""M1 GARAND"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":5}"
"76561198119570050","вит | Pyrochemist","33","32","1.03","8","0.39","0.38","5","0","2","1","535","24","{""|HTD| .koR"":4,""|HTD| Enzo™"":1,""ele[xus]"":2,""|HTD| Mojo"":1,""|HTD| Flare Schlampe"":7,""🅶inny Weasley"":7,""|HTD| Calli"":1,""|HTD| CptKirmes"":1,""|HTD| Dobby"":1,""|HTD| mac"":1,""|HTD| Warpy"":1,""🅶 I|I SoRRoW"":4,""|HTDB| _Nebelmacher_"":1}","{""|HTD| .koR"":1,""|HTD| ЯedBuﾚﾚ™"":1,""|HTD| P  S  E"":4,""ele[xus]"":5,""|HTD| Mojo"":3,""|HTD| Flare Schlampe"":3,""🅶inny Weasley"":6,""|HTD| CptKirmes"":2,""|HTD| Dobby"":2,""Leberwurstbrot"":1,""TURBO JUERGEN"":1,""|HTD| Desty89"":2,""|HTD| Radio"":1,""|HTDB| _Nebelmacher_"":1}","566","400","1160","120","{""BAZOOKA"":3,""M1 GARAND"":10,""COLT M1911"":1,""M1 CARBINE"":3,""M2 AP MINE"":6,""MK2 GRENADE"":1,""BROWNING M1919"":6,""M97 TRENCH GUN"":3}","{""MG42"":2,""MP40"":1,""STG44"":4,""S-MINE"":1,""FG42 x4"":7,""GEWEHR 43"":10,""KARABINER 98K"":7}"
"76561199009603308","'-TL- Tigers0204","53","70","0.76","8","0.62","0.82","8","0","0","0","256","23","{""|HTD| ByZancE420"":1,""|HTD| .koR"":1,""|HTD| P  S  E"":2,""🅶 I|I Fred._."":9,""|HTD| Albert Hofmann"":1,""|HTD| Enzo™"":14,""|HTD| Mojo"":4,""🅶 I|I Kleriker85"":8,""|HTD| CptKirmes"":6,""|HTD| Dobby"":1,""|HTD| julo"":1,""|HTD| mac"":2,""|HTD| Checky"":3,""|HTD| Warpy"":3,""🅶 I|I SoRRoW"":1,""🅶 I|I S|nCe"":1,""|HTD| Wazlav Khan"":1,""|HTD| Radio"":8,""|HTDB| _Nebelmacher_"":2,""james8nx"":1}","{""|HTD| ByZancE420"":1,""|HTD| .koR"":1,""|HTD| P  S  E"":2,""🅶 I|I Fred._."":4,""|HTD| Albert Hofmann"":1,""|HTD| Enzo™"":10,""|HTD| Gummifuchs"":1,""ele[xus]"":1,""|HTD| Templer"":4,""🅶 I|I Doomz'"":1,""|HTD| kound"":2,""🅶 I|I Kleriker85"":3,""🅶inny Weasley"":1,""|HTD| CptKirmes"":1,""|HTD| mac"":1,""|HTD| Checky"":4,""|HTD| Warpy"":1,""🅶 I|I SoRRoW"":1,""🅶 I|I S|nCe"":6,""|HTD| Knubbel"":1,""|HTD| Radio"":5,""|HTDB| _Nebelmacher_"":1}","420","2865","840","180","{""M1 GARAND"":52,""MK2 GRENADE"":1}","{""STG44"":9,""GEWEHR 43"":30,""BOMBING RUN"":1,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":1,""M43 STIELHANDGRANATE"":2,""MG42"":6,""KARABINER 98K"":3,""FG42 x4"":13,""MP40"":4}"
"76561197960277278","Dr Spetz","20","22","0.91","4","0.23","0.26","4","0","0","0","603","34","{""|HTD| ByZancE420"":3,""|HTD| ЯedBuﾚﾚ™"":1,""|HTD| P  S  E"":1,""|HTD| Templer"":2,""|HTD| kound"":3,""🅶inny Weasley"":1,""|HTD| CptKirmes"":2,""|HTD| Warpy"":5,""SGC | ziegeli"":3,""Banjo Bo Wilson"":1}","{""|HTD| ByZancE420"":1,""|HTD| ЯedBuﾚﾚ™"":1,""|HTD| Albert Hofmann"":1,""|HTD| kound"":3,""|HTD| CptKirmes"":1,""|HTD| mac"":3,""|HTD| OpenAirAmMeer"":1,""|HTD| Warpy"":1,""|HTD| Desty89"":1,""SGC | ziegeli"":5,""|HTDB| _Nebelmacher_"":2}","187","1093","120","1420","{""M1 GARAND"":20}","{""MG42"":4,""MP40"":1,""STG44"":1,""S-MINE"":1,""FG42 x4"":1,""GEWEHR 43"":12,""KARABINER 98K"":1,""PANZERSCHRECK"":1}"
