"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198086610395","'-TL- DylanRedux","1","7","0.14","1","0.01","0.08","5","0","0","0","1458","98","{""℧ | Flo"":1,""℧ | mystiC 3>"":1,""℧r | RicoNNect"":2,""℧ | mollebob FubaR^"":1,""℧r | SchaafSchütze"":2}","{""℧ | .Solo"":1}","367","10","1420","240","{""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1}","{""BAZOOKA"":4,""155MM HOWITZER [M114]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198018512527","Palustris","26","60","0.43","9","0.3","0.7","15","1","1","1","332","26","{""℧| Fake"":1,""℧ | Virushunter"":5,""℧ | Jogon"":6,""phx.Fred._."":2,""℧ | Grampa"":2,""℧ | mystiC 3>"":1,""℧r | sb"":6,""Holzbier"":2,""℧ | Blackshooter"":7,""℧ | M!ke"":2,""℧ | Otis"":3,""℧ | Flo"":9,""℧ | Zoom"":4,""℧ | elBrügolo"":2,""℧ | Bodinger"":2,""℧ | Feldi"":1,""℧ | RAGE.PANDA."":3,""℧r | RicoNNect"":2}","{""℧ | Hax"":2,""℧ | Jogon"":2,""℧r | sb"":2,""Holzbier"":1,""℧ | Blackshooter"":1,""℧ | Zoom"":3,""℧ | Rüsseltier"":2,""℧r | Xarc"":1,""℧ | elBrügolo"":2,""℧ | Kaidou"":1,""℧ | Dene"":2,""℧ | Bodinger"":3,""℧ | Feldi"":1,""foolisH"":2,""℧ | tw1N"":1}","193","720","1180","100","{""GEWEHR 43"":26}","{""155MM HOWITZER [M114]"":9,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":4,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":7,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""SATCHEL"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":6,""M1 GARAND"":28}"
"76561198001865942","℧ | Kaidou","24","24","1","6","0.28","0.28","9","2","1","1","722","26","{""Para"":1,""Palustris"":1,""Hellbro"":1,""-TL- BIgLionnnnn"":1,""♻ | Atrocity"":3,""MS | WakandaPerhaps TG"":1,""ass vandal"":1,""-TL- Shane"":1,""-TL- JVCK"":3,""-TL- ThadoS"":1,""-TL- MACK"":2,""-TL- Zunshin"":1,""-TL- Monster_Corndog"":1,""-TL- REDACTED"":1,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""Bloody9"":1,""MS | GAS"":1}","{""Hellbro"":2,""-TL- Data"":2,""MS | Armin"":1,""-TL- BIgLionnnnn"":2,""♻ | Atrocity"":1,""MS | WakandaPerhaps TG"":1,""MS | ΜΓ.DΘ"":1,""sNIPP"":1,""-TL- HotDog-7"":1,""MS | Soldaad"":1,""MS | BommmΞl!ツ"":2,""-TL- Use The PIAT!"":1,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":1,""Bloody9"":1,""MS | GAS"":1,""-TL- Ken"":1,""DooperDupinskie"":1}","254","135","1080","340","{""M2 AP MINE"":1,""M97 TRENCH GUN"":1,""37MM CANNON [Stuart M5A1]"":5,""75MM CANNON [Sherman M4A3(75)W]"":12,""COAXIAL M1919 [Sherman M4A3(75)W]"":5}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":1,""GEWEHR 43"":10,""PANZERSCHRECK"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":5,""MG42"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":1,""FG42 x4"":1}"
"76561198033084578","℧r | Tw0F1sh","2","9","0.22","2","0.02","0.11","9","1","0","0","1795","106","{""-TL- bic"":1,""-TL- JVCK"":1,""-TL- hippie"":1,""MS | Soldaad"":1,""♻ | Atrocity"":2,""-TL- Tigers0204"":1,""- TL - Alex Von Doom"":1,""Smurf | 我種藍莓"":1}","{""-TL- rwendler613"":1,""-TL- Use The PIAT!"":1}","1184","130","1260","240","{""HULL M1919 [Stuart M5A1]"":2}","{""MG42"":1,""SATCHEL"":2,""GEWEHR 43"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198120554967","℧ | Hax","18","51","0.35","4","0.21","0.6","11","2","0","0","354","26","{""Para"":2,""-TL-kebab"":1,""Palustris"":2,""♻ | Atrocity"":1,""-TL- bic"":1,""-TL- Shane"":2,""-TL- JVCK"":1,""- TL - Alex Von Doom"":1,""-TL- HotDog-7"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":2,""LIONS SUPERBOWL"":3,""-TL- MACK"":2,""MSAP"":1,""-TL- Use The PIAT!"":3,""-TL- hippie"":3,""Chilly"":2,""-TL- Monster_Corndog"":3,""Smurf | 我種藍莓"":5,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":2,""Bloody9"":2,""MS | GAS"":1,""-TL- rik"":1,""-TL- Ken"":4,""DooperDupinskie"":1}","{""Para"":1,""♻ | Atrocity"":2,""-TL- bic"":1,""-TL- Trance"":1,""-TL- Shane"":1,""MS | ΜΓ.DΘ"":2,""-TL- ThadoS"":1,""-TL- Use The PIAT!"":1,""-TL- hippie"":1,""-TL- Monster_Corndog"":1,""MS | WBσ$$mλπ"":2,""-TL- Emmanation"":1,""-TL- rwendler613"":2,""-TL- Deic1de"":1}","327","290","900","260","{""BAZOOKA"":3,""M1 GARAND"":6,""BROWNING M1919"":5,""57MM CANNON [M1 57mm]"":4}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":3,""STG44"":5,""GEWEHR 43"":19,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":3,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":10,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":3,""FG42 x4"":3}"
"76561198063462951","℧ | .Solo","18","58","0.31","3","0.21","0.68","15","0","1","1","369","22","{""-TL-kebab"":1,""Hellbro"":4,""-TL-  Gil"":2,""-TL- Data"":5,""MS | Armin"":1,""♻ | Atrocity"":4,""MS | WakandaPerhaps TG"":1,""-TL- DylanRedux"":1,""-TL- JVCK"":1,""sNIPP"":1,""-TL- Koleto"":1,""MS | Soldaad"":1,""MS | BommmΞl!ツ"":1,""LIONS SUPERBOWL"":5,""-TL- MACK"":3,""-TL- Zunshin"":1,""Smurf | 我種藍莓"":1,""-TL- REDACTED"":2,""MS | WBσ$$mλπ"":2,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":3,""MS | GAS"":8,""-TL- Ken"":1,""DooperDupinskie"":3,""-TL- Deic1de"":3}","{""-TL- Data"":1,""MS | Armin"":2,""♻ | Atrocity"":1,""MS | WakandaPerhaps TG"":1,""ass vandal"":1,""-TL- Shane"":1,""MS | ΜΓ.DΘ"":1,""sNIPP"":1,""MS | Soldaad"":1,""MS | BommmΞl!ツ"":1,""-TL- MACK"":1,""Galtia"":1,""MS | GAS"":1,""-TL- Ken"":1,""DooperDupinskie"":3}","252","400","460","640","{""BAZOOKA"":4,""M1 GARAND"":14}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":3,""STG44"":5,""GEWEHR 43"":22,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""150MM HOWITZER [sFH 18]"":5,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":3,""KARABINER 98K"":3,""FG42 x4"":8,""MP40"":1}"
"76561198113378678","℧ | RAGE.PANDA.","53","42","1.26","8","0.62","0.49","6","0","1","1","836","20","{""Para"":1,""-TL-kebab"":1,""-TL-  Gil"":3,""-TL- Data"":1,""♻ | Atrocity"":2,""-TL- bic"":2,""-TL- Trance"":1,""ass vandal"":1,""-TL- Shane"":2,""-TL- JVCK"":1,""MS | ΜΓ.DΘ"":1,""- TL - Alex Von Doom"":2,""sNIPP"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":3,""-TL- ThadoS"":1,""LIONS SUPERBOWL"":3,""-TL- hippie"":1,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":3,""-TL- REDACTED"":2,""MS | WBσ$$mλπ"":1,""Galtia"":1,""MS | GAS"":2,""DooperDupinskie"":2}","{""Para"":3,""-TL-kebab"":2,""Palustris"":3,""-TL-  Gil"":4,""-TL- Data"":1,""MS | Armin"":2,""-TL- bic"":4,""-TL- Trance"":4,""-TL- Shane"":1,""-TL- JVCK"":2,""MS | ΜΓ.DΘ"":1,""-TL- Koleto"":1,""MS | Soldaad"":2,""MS | BommmΞl!ツ"":1,""-TL- Use The PIAT!"":2,""-TL- hippie"":1,""Chilly"":1,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":1,""-TL- REDACTED"":1,""Galtia"":3,""Bloody9"":5,""-TL- Emmanation"":1,""MS | GAS"":1,""-TL- Ken"":3,""-TL- Deic1de"":1}","480","425","1240","60","{""BAZOOKA"":3,""M1 GARAND"":16,""M1 CARBINE"":2,""M3 GREASE GUN"":2,""BROWNING M1919"":29,""57MM CANNON [M1 57mm]"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":6,""GEWEHR 43"":16,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":3,""M43 STIELHANDGRANATE"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":4,""KARABINER 98K"":3,""MP40"":2}"
"76561198214090701","℧r | Xarc","5","41","0.12","3","0.06","0.48","27","0","0","0","768","15","{""-TL-kebab"":2,""Palustris"":1,""-TL- Data"":2,""♻ | Atrocity"":1,""-TL- Trance"":2,""MS | WakandaPerhaps TG"":1,""-TL- Shane"":1,""-TL- JVCK"":3,""MS | Soldaad"":5,""-TL- ThadoS"":2,""LIONS SUPERBOWL"":8,""Chilly"":1,""MS | WBσ$$mλπ"":1,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":1,""MS | GAS"":6,""-TL- Deic1de"":1}","{""-TL- Ken"":1,""-TL- MACK"":1,""-TL- Tigers0204"":1,""DooperDupinskie"":1,""MS | BommmΞl!ツ"":1}","33","610","780","180","{""M1 CARBINE"":5}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":8,""GEWEHR 43"":7,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""150MM HOWITZER [sFH 18]"":8,""SATCHEL"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":4,""KARABINER 98K"":1,""FG42 x4"":4,""MP40"":2}"
"76561198107737296","℧ | Rüsseltier","39","52","0.75","4","0.46","0.61","6","0","1","1","395","27","{""Para"":4,""-TL-kebab"":1,""Palustris"":2,""MS | Armin"":1,""♻ | Atrocity"":1,""-TL- bic"":5,""-TL- Shane"":8,""MS | Soldaad"":2,""-TL- Tigers0204"":4,""LIONS SUPERBOWL"":1,""-TL- MACK"":1,""-TL- Use The PIAT!"":1,""-TL- hippie"":4,""-TL- Zunshin"":1,""Chilly"":5,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":6,""Bloody9"":1,""MS | GAS"":2,""-TL- Ken"":1}","{""Para"":5,""-TL-  Gil"":1,""-TL- Data"":1,""-TL- bic"":6,""-TL- Shane"":3,""MS | Soldaad"":3,""-TL- MACK"":1,""-TL- Use The PIAT!"":2,""-TL- hippie"":3,""Chilly"":2,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":4,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":2,""MS | GAS"":1,""-TL- Ken"":1,""-TL- Deic1de"":1}","418","830","780","360","{""M1 GARAND"":26,""MK2 GRENADE"":2,""M3 GREASE GUN"":1,""M97 TRENCH GUN"":10}","{""STG44"":10,""GEWEHR 43"":18,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":1,""M43 STIELHANDGRANATE"":2,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":9,""KARABINER 98K"":3,""FG42 x4"":5,""MP40"":1}"
"76561198068157816","'-TL- REDACTED","57","51","1.12","5","0.67","0.6","5","0","0","0","265","26","{""℧ | TOVA"":1,""℧ | Nachttisch"":1,""phx.Fred._."":1,""℧ | PhoenixKomet"":1,""℧ | mystiC 3>"":4,""℧ | Mando"":3,""℧ | Blackshooter"":1,""℧ | M!ke"":1,""℧ | mollebob FubaR^"":4,""℧ | Otis"":1,""℧ | Flo"":4,""℧ | TONI LMMN"":8,""℧ | Zoom"":3,""℧ | elBrügolo"":6,""℧r | SchaafSchütze"":1,""℧ | Kaidou"":1,""℧ | Dene"":3,""℧ Skynurse"":1,""foolisH"":4,""℧ | RAGE.PANDA."":1,""℧ | Freddy"":1}","{""℧ | Forge is down"":1,""℧ | Hax"":1,""℧ | TOVA"":1,""℧ | Alice"":2,""℧ | Lord.Jax"":1,""℧ | PhoenixKomet"":1,""℧ | mystiC 3>"":6,""℧r | sb"":2,""℧ | Blackshooter"":2,""℧ | M!ke"":6,""℧ | mollebob FubaR^"":3,""℧ | Otis"":2,""℧ | TONI LMMN"":6,""℧ | .Solo"":2,""℧ | elBrügolo"":5,""℧r | SchaafSchütze"":1,""℧ | Kaidou"":1,""℧ | Dene"":3,""℧ Skynurse"":6,""foolisH"":1,""℧ | RAGE.PANDA."":2,""℧ | tw1N"":1,""℧ | .Tattoo"":1}","397","1093","1220","120","{""GEWEHR 43"":57}","{""155MM HOWITZER [M114]"":4,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":7,""BROWNING M1919"":4,""M2 AP MINE"":2,""M1 GARAND"":30,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561198316126032","'-TL- HotDog-7","11","14","0.79","3","0.13","0.16","4","0","0","0","1166","86","{""℧ | Dene"":2,""℧ | TOVA"":1,""℧ | Mando"":1,""℧ | Freddy"":1,""℧ | Kaidou"":1,""℧ | Zirocle"":6,""℧ | PhoenixKomet"":2}","{""℧ | Hax"":1,""℧ | Dene"":2,""℧ | tw1N"":1,""℧ | Mando"":1,""℧ | Zirocle"":3,""℧ | Cookie シ"":2,""℧ | Axelschweis"":1}","93","344","1580","0","{""MP40"":1,""KARABINER 98K"":9,""M43 STIELHANDGRANATE"":1}","{""UNKNOWN"":1,""M1 GARAND"":12,""37MM CANNON [Stuart M5A1]"":1}"
"76561198300144373","℧ | Dene","69","68","1.01","10","0.81","0.8","9","1","1","1","276","22","{""Para"":3,""Palustris"":2,""Hellbro"":4,""-TL- Data"":2,""-TL- BIgLionnnnn"":2,""-TL- bic"":2,""-TL- Shane"":3,""-TL- JVCK"":2,""sNIPP"":1,""-TL- HotDog-7"":2,""MS | Soldaad"":2,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":1,""-TL- ThadoS"":1,""LIONS SUPERBOWL"":5,""-TL- MACK"":3,""-TL- Use The PIAT!"":2,""-TL- hippie"":1,""-TL- Zunshin"":1,""Chilly"":4,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":3,""-TL- REDACTED"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""Bloody9"":1,""MS | GAS"":2,""-TL- rik"":5,""-TL- Ken"":2,""-TL- rwendler613"":1,""DooperDupinskie"":2}","{""Para"":3,""-TL- BIgLionnnnn"":4,""-TL- bic"":3,""-TL- Shane"":2,""sNIPP"":1,""-TL- HotDog-7"":2,""MS | Soldaad"":7,""-TL- Tigers0204"":3,""MS | BommmΞl!ツ"":4,""-TL- ThadoS"":1,""-TL- Use The PIAT!"":5,""Chilly"":3,""-TL- Monster_Corndog"":6,""Smurf | 我種藍莓"":3,""-TL- REDACTED"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""Bloody9"":4,""-TL- Peif_Rimgarr"":1,""-TL- rik"":4,""-TL- Ken"":1,""-TL- rwendler613"":1,""DooperDupinskie"":5}","478","370","340","780","{""UNKNOWN"":2,""M1 GARAND"":65,""MK2 GRENADE"":2}","{""STG44"":10,""GEWEHR 43"":32,""150MM HOWITZER [sFH 18]"":5,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3,""MG42"":5,""KARABINER 98K"":6,""FG42 x4"":4,""MP40"":2}"
"76561198126293399","℧r |Executioner","9","7","1.29","9","0.11","0.08","7","0","1","1","1735","239","{""Hellbro"":1,""-TL- Ken"":1,""-TL- JVCK"":1,""♻ | Atrocity"":1,""- TL - Alex Von Doom"":1,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1}","{""MSAP"":1,""-TL- bic"":2,""-TL- Slug"":1,""-TL- Zunshin"":1,""-TL- rwendler613"":1,""-TL- Use The PIAT!"":1,""-TL- Monster_Corndog"":2}","1214","0","1300","300","{""37MM CANNON [Stuart M5A1]"":7,""COAXIAL M1919 [Stuart M5A1]"":2}","{""SATCHEL"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561197979193853","℧ | Grampa","48","37","1.3","8","0.56","0.43","6","0","0","0","565","36","{""Para"":4,""-TL- bic"":4,""-TL- Shane"":3,""-TL- JVCK"":2,""MS | ΜΓ.DΘ"":1,""MS | Soldaad"":2,""LIONS SUPERBOWL"":1,""-TL- hippie"":5,""Chilly"":4,""-TL- Monster_Corndog"":3,""Smurf | 我種藍莓"":4,""Bloody9"":1,""-TL- Ken"":3}","{""Para"":8,""-TL-kebab"":2,""Palustris"":2,""-TL- bic"":8,""-TL- Trance"":2,""ass vandal"":1,""-TL- Shane"":9,""MS | Soldaad"":4,""-TL- MACK"":2,""-TL- Use The PIAT!"":3,""Chilly"":1,""Smurf | 我種藍莓"":3,""Bloody9"":1,""-TL- Ken"":1,""-TL- Deic1de"":1}","331","463","740","540","{""SATCHEL"":1,""UNKNOWN"":1,""M1 GARAND"":2,""COLT M1911"":1,""BROWNING M1919"":35,""M97 TRENCH GUN"":8}","{""KARABINER 98K x8"":1,""STG44"":2,""GEWEHR 43"":18,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1,""SATCHEL"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":5,""KARABINER 98K"":1,""FG42 x4"":3}"
"76561197960816464","℧ | mystiC 3>","58","66","0.88","6","0.68","0.77","7","0","1","1","242","19","{""-TL-kebab"":2,""Hellbro"":6,""-TL-  Gil"":1,""MS | Armin"":1,""♻ | Atrocity"":1,""-TL- Trance"":3,""ass vandal"":1,""-TL- JVCK"":2,""sNIPP"":3,""MS | Soldaad"":2,""-TL- Tigers0204"":3,""MS | BommmΞl!ツ"":4,""-TL- ThadoS"":1,""LIONS SUPERBOWL"":5,""-TL- MACK"":1,""-TL- Use The PIAT!"":2,""-TL- hippie"":2,""-TL- Zunshin"":2,""Chilly"":1,""Smurf | 我種藍莓"":1,""-TL- REDACTED"":6,""Galtia"":4,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":3,""MS | GAS"":5,""-TL- Ken"":2,""-TL- Deic1de"":1}","{""-TL-kebab"":3,""Palustris"":1,""Hellbro"":2,""-TL-  Gil"":1,""-TL- Data"":4,""-TL- BIgLionnnnn"":1,""-TL- bic"":2,""-TL- Trance"":2,""-TL- DylanRedux"":1,""Spamdini"":1,""-TL- JVCK"":1,""- TL - Alex Von Doom"":1,""sNIPP"":2,""-TL- Koleto"":1,""MS | Soldaad"":2,""-TL- Tigers0204"":1,""-TL- MACK"":1,""Chilly"":2,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":4,""Galtia"":7,""-TL- 🅼🅴🅻🅻🅾🆆"":4,""Bloody9"":1,""-TL- Emmanation"":1,""-TL- Peif_Rimgarr"":1,""MS | GAS"":4,""-TL- Ken"":1,""DooperDupinskie"":3,""-TL- Deic1de"":1}","664","350","380","760","{""BAZOOKA"":6,""M1 GARAND"":42,""M2 AP MINE"":3,""M3 GREASE GUN"":1,""M97 TRENCH GUN"":5,""57MM CANNON [M1 57mm]"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""STG44"":7,""GEWEHR 43"":29,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":5,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":8,""FG42 x4"":6,""MP40"":3}"
"76561199001480898","℧r | SchaafSchütze","26","26","1","4","0.3","0.3","7","0","3","1","545","16","{""-TL-kebab"":2,""Hellbro"":3,""-TL-  Gil"":1,""-TL- Data"":4,""♻ | Atrocity"":1,""sNIPP"":1,""MS | Soldaad"":1,""LIONS SUPERBOWL"":2,""-TL- MACK"":2,""-TL- hippie"":1,""-TL- Zunshin"":1,""Chilly"":1,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":1,""MS | GAS"":1,""-TL- Deic1de"":1}","{""Para"":1,""-TL- Data"":1,""MS | Armin"":1,""-TL- bic"":1,""-TL- Trance"":1,""-TL- DylanRedux"":2,""Spamdini"":2,""- TL - Alex Von Doom"":2,""sNIPP"":2,""MS | Soldaad"":2,""-TL- Tigers0204"":1,""-TL- ThadoS"":1,""-TL- hippie"":2,""-TL- REDACTED"":1,""Bloody9"":3,""MS | GAS"":2,""DooperDupinskie"":1}","329","790","1040","140","{""BAZOOKA"":6,""M1 GARAND"":4,""M1 CARBINE"":2,""M2 AP MINE"":1,""M3 GREASE GUN"":2,""BROWNING M1919"":7,""M97 TRENCH GUN"":4}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":7,""GEWEHR 43"":10,""150MM HOWITZER [sFH 18]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":2,""FG42 x4"":1}"
"76561198128056383","℧ | Zirocle","27","42","0.64","3","0.32","0.49","7","1","0","0","577","27","{""Hellbro"":3,""-TL-  Gil"":1,""-TL- Data"":5,""MS | Armin"":1,""-TL- BIgLionnnnn"":2,""-TL- Trance"":1,""MS | WakandaPerhaps TG"":1,""-TL- Shane"":1,""sNIPP"":1,""-TL- HotDog-7"":3,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":1,""-TL- ThadoS"":1,""-TL- MACK"":1,""MSAP"":1,""Chilly"":1,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":1,""-TL- Peif_Rimgarr"":2,""MS | GAS"":1,""-TL- rik"":4,""-TL- rwendler613"":2,""DooperDupinskie"":2}","{""Hellbro"":1,""-TL- Data"":2,""-TL- BIgLionnnnn"":2,""ass vandal"":4,""-TL- HotDog-7"":6,""-TL- Tigers0204"":1,""-TL- ThadoS"":1,""-TL- Use The PIAT!"":1,""-TL- Monster_Corndog"":1,""Galtia"":1,""-TL- Peif_Rimgarr"":1,""-TL- rik"":2,""-TL- rwendler613"":4}","279","760","260","1100","{""M1 GARAND"":27}","{""MG42"":1,""STG44"":5,""FG42 x4"":2,""GEWEHR 43"":24,""STRAFING RUN"":2,""KARABINER 98K"":7,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561199117615328","℧ | Cookie シ","11","34","0.32","2","0.13","0.4","10","0","0","0","881","26","{""Hellbro"":2,""-TL- Data"":2,""MS | Armin"":1,""MS | WakandaPerhaps TG"":3,""ass vandal"":4,""MS | ΜΓ.DΘ"":1,""sNIPP"":1,""-TL- HotDog-7"":2,""MS | Soldaad"":1,""-TL- Tigers0204"":1,""LIONS SUPERBOWL"":2,""-TL- MACK"":3,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Bloody9"":2,""MS | GAS"":1,""-TL- rwendler613"":4}","{""Hellbro"":1,""-TL-  Gil"":1,""MS | WakandaPerhaps TG"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":1,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rik"":1,""-TL- Ken"":2,""-TL- rwendler613"":1}","94","3633","800","600","{""M1 GARAND"":8,""BOMBING RUN"":3}","{""MP40"":1,""STG44"":7,""FG42 x4"":1,""SATCHEL"":2,""GEWEHR 43"":16,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":2,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":1}"
"76561197962668692","'-TL- ThadoS","37","17","2.18","14","0.43","0.2","3","0","0","0","713","36","{""℧ | Hax"":1,""℧ | PhoenixKomet"":1,""℧ | M!ke"":1,""℧ | Otis"":1,""℧ | Flo"":1,""℧ | TONI LMMN"":2,""℧ | Zoom"":4,""℧ | Zirocle"":1,""℧r | SchaafSchütze"":1,""℧ | Dene"":1,""℧ | tw1N"":3}","{""℧ | Virushunter"":1,""℧ | Forge is down"":2,""℧ | Jogon"":2,""phx.Fred._."":2,""℧ | PhoenixKomet"":2,""℧ | mystiC 3>"":1,""Holzbier"":1,""℧ | M!ke"":2,""℧ | Otis"":2,""℧ | Toka"":1,""℧ | TONI LMMN"":1,""℧ | Zoom"":2,""℧ | Zirocle"":1,""℧r | Xarc"":2,""℧ | Jπ"":2,""℧ | Kaidou"":1,""℧ | Dene"":1,""℧ | Bodinger"":2,""℧ | Feldi"":3,""foolisH"":1,""℧ | RAGE.PANDA."":1,""℧ | tw1N"":2,""℧ | Freddy"":1,""℧ | Kettenfuchs"":1}","426","200","1500","40","{""MG42"":25,""MP40"":12}","{""M1 GARAND"":8,""M3 GREASE GUN"":1,""BROWNING M1919"":2,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":4,""155MM HOWITZER [M114]"":1}"
