"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198085342672","ﾒ JitMuncher9001","275","0","275","275","3.22","0","0","17","0","0","0","9999","{}","{""-TL-GIRLCOCKSUPREME"":24,""Bleicher Junge"":5,""Hellbro"":2,""=LordFarquaad="":1,""-TL-  Gil"":5,""MS | Armin"":2,""-TL- bic"":3,""-TL- zemo"":5,""-TL- DylanRedux"":2,""Spamdini"":1,""Data"":4,""NOname"":3,""MS | ΜΓ.DΘ"":4,""- TL - Alex Von Doom"":1,""MS | sNIPP"":16,""-TL- JB"":2,""Ya Mon Jo"":7,""MS | Soldaad"":8,""-TL- Priime"":6,""-TL- Edotensei"":8,""-TL- Tigers0204"":6,""MS | BommmΞl!ツ"":1,""MrInsaneBunny"":24,""Reduktorius"":9,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":9,""MS | Fuze"":13,""=TL=Blackasaurus Rex"":6,""-TL- REDACTED"":7,""-TL- RectumRipper"":2,""TeTris"":8,""GAS"":12,""Galtia"":14,""-TL- 🅼🅴🅻🅻🅾🆆"":28,""Dr Spetz"":10,""MACK"":6,""Vadiii.therapist"":7,""thelastpizzaroll"":1,""-TL- Potato"":1}","2225","0","1760","0","{""UNKNOWN"":1,""150MM HOWITZER [sFH 18]"":274}","{}"
"76561198280295436","MS | Major WakandaPerhaps","269","0","269","269","3.15","0","0","17","0","0","0","9999","{}","{""ﾒ smiLk"":11,""ﾒ KillSwitcH"":16,""ﾒ evac"":12,""ﾒ Bama"":2,""♤ Rupertz"":3,""DavyﾒJones"":11,""メ Redrocket"":1,""ﾒ LuCid"":15,""ﾒ 404"":5,""ﾒ Thommy"":2,""stevE_"":19,""♤ Spirit"":7,""ﾒ thilly gooth"":1,""ﾒ Bull➇t"":3,""ﾒ prank"":4,""ﾒData_Transfer"":2,""//IPoopNaked"":12,""ﾒ R☯︎nin"":4,""ﾒ badup"":3,""ﾒ waterjug"":7,""ﾒ Gloomy Crusty"":2,""ﾒ Twad"":7,""メ Richie B."":15,""ﾒ Dimo the Mad"":15,""ﾒ ☞Fake☜"":1,""ﾒW0RSTGUITARIST"":3,""ＧＩＧＡＤＥＡＴＨ"":2,""ﾒ robo"":8,""ﾒ EGGS"":12,""ﾒ Chox"":7,""Original K"":9,""ﾒ feisty"":2,""ﾒ pyro_maniac"":1,""ﾒ robRRT"":1,""ﾒ Shaettax"":4,""ﾒ Never"":9,""メ SnarkySnacks"":6,""ﾒNova"":13,""メ SirBrokenKnight"":11,""ﾒ LadyBi"":1}","2308","40","1780","0","{""UNKNOWN"":1,""TELLERMINE 43"":1,""155MM HOWITZER [M114]"":267}","{}"
"76561198890185137","♤ Spirit","114","66","1.73","11","1.33","0.77","4","1","2","1","267","17","{""Bleicher Junge"":1,""-TL-  Gil"":2,""MS | Armin"":4,""7stoner"":1,""-TL- zemo"":8,""Data"":1,""NOname"":3,""MS | sNIPP"":1,""Ya Mon Jo"":2,""MS | Soldaad"":1,""-TL- Priime"":2,""MS | BommmΞl!ツ"":2,""MS | Major WakandaPerhaps"":7,""Reduktorius"":11,""Smurf | 我種藍莓"":3,""MS | Fuze"":2,""-TL- REDACTED"":5,""MS | WBσ$$mλπ"":1,""GAS"":2,""Galtia"":3,""Dr Spetz"":4}","{""Bleicher Junge"":9,""-TL-  Gil"":1,""MS | Armin"":20,""-TL- bic"":1,""-TL- zemo"":6,""-TL- DylanRedux"":2,""Spamdini"":1,""Data"":1,""NOname"":6,""MS | sNIPP"":2,""Ya Mon Jo"":4,""MS | Soldaad"":7,""-TL- Priime"":4,""-TL- Edotensei"":1,""MrInsaneBunny"":1,""Reduktorius"":7,""Smurf | 我種藍莓"":12,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":8,""GAS"":4,""Galtia"":6,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Dr Spetz"":4,""-TL- rik"":1,""thelastpizzaroll"":4}","836","226","620","560","{""GEWEHR 43"":112,""KARABINER 98K"":1,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":7,""M97 TRENCH GUN"":3,""MK2 GRENADE"":2,""BROWNING M1919"":2,""M2 AP MINE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""S-MINE"":1,""BAZOOKA"":4,""M1 CARBINE"":4,""M1 GARAND"":41}"
"76561198041224149","'-TL- JVCK","106","2","53","54","1.24","0.02","1","4","0","0","3028","706","{""ﾒ 404"":1,""ﾒ prank"":1}","{""ﾒ Keanu"":2,""ﾒ smiLk"":1,""ﾒ KillSwitcH"":1,""ﾒ evac"":3,""ﾒ Bama"":3,""DavyﾒJones"":5,""ﾒ LuCid"":2,""ﾒ 404"":10,""ﾒ Thommy"":2,""stevE_"":2,""ﾒ thilly gooth"":1,""メKX99"":5,""ﾒ Bull➇t"":6,""ﾒ prank"":5,""ﾒData_Transfer"":1,""//IPoopNaked"":1,""ﾒ R☯︎nin"":3,""ﾒ badup"":4,""ﾒ waterjug"":3,""ﾒ Twad"":1,""ﾒ Briison"":4,""ﾒ DocHollyday"":1,""メ Richie B."":1,""ﾒ Lord.Jax"":1,""ﾒ Dimo the Mad"":4,""ﾒ ☞Fake☜"":2,""ﾒW0RSTGUITARIST"":2,""ＧＩＧＡＤＥＡＴＨ"":2,""ﾒ robo"":3,""メSuperSﾒupor㋱"":2,""ﾒ EGGS"":3,""Original K"":2,""ﾒ feisty"":1,""ﾒ Shaettax"":3,""ﾒ Never"":4,""メ SnarkySnacks"":6,""ﾒNova"":2,""メ SirBrokenKnight"":2}","1514","225","1020","580","{""75MM CANNON [Sherman M4A3(75)W]"":17,""76MM M1 GUN [Sherman M4A3E2(76)]"":66,""COAXIAL M1919 [Sherman M4A3(75)W]"":3,""COAXIAL M1919 [Sherman M4A3E2(76)]"":20}","{""SATCHEL"":1,""PANZERSCHRECK"":1}"
"76561198079470277","GAS","89","83","1.07","8","1.04","0.97","6","3","1","1","190","15","{""ﾒ Keanu"":1,""ﾒ smiLk"":3,""ﾒ KillSwitcH"":5,""ﾒ Bama"":1,""メ Redrocket"":4,""ﾒ LuCid"":3,""ﾒ JitMuncher9001"":12,""ﾒ 404"":3,""stevE_"":4,""♤ Spirit"":4,""ﾒ Bull➇t"":1,""ﾒ prank"":2,""//IPoopNaked"":2,""ﾒ badup"":4,""ﾒ waterjug"":1,""ﾒ Gloomy Crusty"":3,""ﾒ Twad"":1,""メ Richie B."":2,""ﾒ Dimo the Mad"":3,""ﾒ ☞Fake☜"":2,""ﾒW0RSTGUITARIST"":3,""ＧＩＧＡＤＥＡＴＨ"":3,""ﾒ robo"":6,""ﾒ EGGS"":2,""ﾒ feisty"":1,""ﾒ robRRT"":1,""ﾒ Never"":3,""ﾒNova"":1,""メ SirBrokenKnight"":2}","{""ﾒ Keanu"":2,""ﾒ smiLk"":7,""ﾒ KillSwitcH"":5,""ﾒ evac"":1,""♤ Rupertz"":2,""メ Redrocket"":1,""ﾒ LuCid"":1,""ﾒ 404"":9,""ﾒ Thommy"":2,""stevE_"":1,""♤ Spirit"":2,""ﾒ Bull➇t"":1,""ﾒ prank"":5,""ﾒData_Transfer"":1,""//IPoopNaked"":3,""ﾒ badup"":1,""ﾒ waterjug"":1,""ﾒ Twad"":1,""メ Richie B."":2,""ﾒ Dimo the Mad"":9,""ﾒ ☞Fake☜"":1,""ﾒW0RSTGUITARIST"":1,""ＧＩＧＡＤＥＡＴＨ"":4,""ﾒ robo"":2,""ﾒ EGGS"":2,""ﾒ Chox"":4,""ﾒ feisty"":2,""ﾒ Shaettax"":5,""メ SnarkySnacks"":3,""ﾒNova"":5,""メ SirBrokenKnight"":3}","676","25","520","420","{""M1 GARAND"":66,""MK2 GRENADE"":17,""M1A1 THOMPSON"":6}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""STG44"":9,""GEWEHR 43"":26,""150MM HOWITZER [sFH 18]"":12,""M43 STIELHANDGRANATE"":1,""SATCHEL"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":16,""KARABINER 98K"":7,""FG42 x4"":1,""MP40"":4}"
"76561198002687806","ﾒ robo","88","36","2.44","22","1.03","0.42","6","0","0","0","651","18","{""-TL-  Gil"":1,""-TL- bic"":2,""-TL- JVCK"":3,""dabs"":1,""- TL - Alex Von Doom"":1,""Ya Mon Jo"":1,""MS | Soldaad"":1,""-TL- Priime"":2,""MS | BommmΞl!ツ"":4,""MS | Major WakandaPerhaps"":8,""=TL=Blackasaurus Rex"":3,""TeTris"":5,""GAS"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MACK"":1}","{""-TL-GIRLCOCKSUPREME"":1,""Hellbro"":14,""=LordFarquaad="":4,""MS | Armin"":1,""-TL- bic"":2,""-TL- zemo"":1,""-TL- Bisper"":2,""Data"":3,""MS | sNIPP"":1,""-TL- JB"":1,""Ya Mon Jo"":2,""-TL- Priime"":4,""-TL- Edotensei"":5,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":9,""MrInsaneBunny"":4,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":2,""MS | Fuze"":4,""MS | WBσ$$mλπ"":1,""-TL- RectumRipper"":3,""TeTris"":5,""GAS"":6,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MACK"":4,""Vadiii.therapist"":4}","603","175","740","600","{""MG42"":88}","{""155MM HOWITZER [M114]"":7,""M1A1 THOMPSON"":1,""MK2 GRENADE"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2,""BROWNING M1919"":9,""UNKNOWN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""SATCHEL"":1,""57MM CANNON [M1 57mm]"":1,""M6 37mm [M8 Greyhound]"":2,""M1 GARAND"":8,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561198056474641","MS | BommmΞl!ツ","85","82","1.04","7","0.99","0.96","5","2","3","1","208","22","{""ﾒ KillSwitcH"":3,""ﾒ evac"":1,""ﾒ Bama"":1,""♤ Rupertz"":2,""DavyﾒJones"":4,""メ Redrocket"":1,""ﾒ LuCid"":1,""ﾒ JitMuncher9001"":1,""ﾒ 404"":4,""stevE_"":7,""ﾒ Bull➇t"":2,""ﾒ prank"":4,""//IPoopNaked"":1,""ﾒ badup"":5,""ﾒ Gloomy Crusty"":1,""ﾒ Twad"":1,""ﾒ PiPi'sWaterPark"":1,""メ Richie B."":6,""ﾒW0RSTGUITARIST"":2,""ＧＩＧＡＤＥＡＴＨ"":1,""ﾒ robo"":9,""ﾒ EGGS"":2,""Original K"":2,""ﾒ feisty"":2,""ﾒ robRRT"":5,""ﾒ Shaettax"":3,""ﾒ Never"":4,""メ SnarkySnacks"":3,""ﾒNova"":3}","{""ﾒ smiLk"":2,""ﾒ KillSwitcH"":3,""ﾒ evac"":1,""ﾒ Bama"":1,""DavyﾒJones"":6,""ﾒ LuCid"":7,""ﾒ 404"":2,""stevE_"":4,""ﾒ FlintSky07"":2,""♤ Spirit"":2,""ﾒ prank"":2,""ﾒData_Transfer"":1,""//IPoopNaked"":1,""ﾒ badup"":4,""ﾒ Gloomy Crusty"":1,""ﾒ Twad"":2,""メ Richie B."":2,""ﾒ Dimo the Mad"":2,""ﾒW0RSTGUITARIST"":2,""ﾒ robo"":4,""ﾒ EGGS"":6,""ﾒ Chox"":1,""ﾒ feisty"":1,""ﾒ robRRT"":3,""ﾒ Shaettax"":6,""ﾒ Never"":4,""メ SnarkySnacks"":6,""ﾒNova"":2,""メ SirBrokenKnight"":5}","690","325","560","420","{""BAZOOKA"":3,""SATCHEL"":1,""M1 GARAND"":64,""MK2 GRENADE"":6,""M3 GREASE GUN"":3,""BROWNING M1919"":4,""M2 FLAMETHROWER"":4}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":10,""GEWEHR 43"":31,""150MM HOWITZER [sFH 18]"":1,""SATCHEL"":2,""STRAFING RUN"":1,""MG42"":23,""KARABINER 98K"":7,""FG42 x4"":2,""MP40"":4}"
"76561198007390009","ﾒ badup","85","31","2.74","12","0.99","0.36","8","1","0","0","615","25","{""Bleicher Junge"":1,""=LordFarquaad="":1,""-TL- bic"":3,""-TL- JVCK"":4,""Ya Mon Jo"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":3,""MS | BommmΞl!ツ"":4,""MS | Major WakandaPerhaps"":3,""-TL- Monster_Corndog"":2,""MS | Fuze"":1,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":2,""TeTris"":1,""GAS"":1,""-TL- Potato"":1}","{""-TL-GIRLCOCKSUPREME"":6,""Hellbro"":3,""=LordFarquaad="":4,""-TL-  Gil"":2,""-TL- bic"":5,""- TL - Alex Von Doom"":1,""MS | sNIPP"":6,""-TL- JB"":2,""Ya Mon Jo"":2,""MS | Soldaad"":3,""-TL- Edotensei"":1,""-TL- Tigers0204"":3,""MS | BommmΞl!ツ"":5,""MrInsaneBunny"":5,""-TL- Monster_Corndog"":4,""MS | Fuze"":7,""=TL=Blackasaurus Rex"":2,""-TL- RectumRipper"":2,""TeTris"":1,""GAS"":4,""-TL- 🅼🅴🅻🅻🅾🆆"":6,""-TL- rwendler"":1,""MACK"":4,""Vadiii.therapist"":5,""-TL- rik"":1}","593","175","760","600","{""MG42"":83,""LUGER P08"":1,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":3,""MK2 GRENADE"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""37MM CANNON [Stuart M5A1]"":2,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":5,""M3 GREASE GUN"":2,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":14,""M2 FLAMETHROWER"":1}"
"76561198299379657","TeTris","85","51","1.67","13","0.99","0.6","6","0","1","1","514","15","{""ﾒ KillSwitcH"":4,""ﾒ evac"":1,""ﾒ Bama"":4,""♤ Rupertz"":1,""メ Redrocket"":1,""ﾒ LuCid"":1,""ﾒ JitMuncher9001"":8,""ﾒ 404"":2,""ﾒ Thommy"":1,""stevE_"":1,""ﾒ Bull➇t"":5,""ﾒ badup"":1,""ﾒ Gloomy Crusty"":1,""ﾒ Briison"":5,""ﾒ Dimo the Mad"":1,""ﾒW0RSTGUITARIST"":1,""ﾒ robo"":5,""ﾒ robRRT"":1,""ﾒ Shaettax"":2,""ﾒ Never"":2,""メ SnarkySnacks"":2,""メ SirBrokenKnight"":1}","{""ﾒ smiLk"":3,""ﾒ KillSwitcH"":4,""ﾒ evac"":3,""ﾒ Bama"":1,""♤ Rupertz"":4,""DavyﾒJones"":2,""メ Redrocket"":1,""ﾒ LuCid"":2,""ﾒ 404"":4,""ﾒ Thommy"":1,""stevE_"":1,""ﾒ FlintSky07"":1,""ﾒ Bull➇t"":2,""ﾒ prank"":3,""//IPoopNaked"":3,""ﾒ R☯︎nin"":2,""ﾒ badup"":1,""ﾒ waterjug"":1,""メ Richie B."":1,""ﾒ Dimo the Mad"":1,""ﾒW0RSTGUITARIST"":3,""ＧＩＧＡＤＥＡＴＨ"":3,""ﾒ robo"":5,""ﾒ EGGS"":4,""ﾒ Chox"":2,""ﾒ feisty"":3,""ﾒ robRRT"":1,""ﾒ Shaettax"":10,""ﾒ Never"":4,""メ SnarkySnacks"":4,""ﾒNova"":2,""メ SirBrokenKnight"":3}","709","0","820","400","{""M1 GARAND"":15,""BROWNING M1919"":57,""M6 37mm [M8 Greyhound]"":13}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""75MM CANNON [PAK 40]"":2,""STG44"":7,""GEWEHR 43"":8,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""150MM HOWITZER [sFH 18]"":8,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":9,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":4,""FG42 x4"":5,""MP40"":2}"
"76561199068385407","ﾒW0RSTGUITARIST","84","34","2.47","28","0.98","0.4","4","0","0","0","642","7","{""Bleicher Junge"":4,""Hellbro"":1,""-TL-  Gil"":1,""-TL- JVCK"":2,""NOname"":2,""- TL - Alex Von Doom"":1,""MS | sNIPP"":1,""-TL- Priime"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":2,""MS | Major WakandaPerhaps"":3,""-TL- Monster_Corndog"":1,""=TL=Blackasaurus Rex"":5,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":1,""TeTris"":3,""GAS"":1,""MACK"":2}","{""-TL-GIRLCOCKSUPREME"":3,""Bleicher Junge"":1,""Hellbro"":5,""=LordFarquaad="":6,""-TL- bic"":5,""7stoner"":1,""Data"":1,""dabs"":1,""MS | sNIPP"":1,""-TL- JB"":1,""Ya Mon Jo"":1,""MS | Soldaad"":2,""-TL- Priime"":2,""-TL- Edotensei"":1,""-TL- Tigers0204"":4,""MS | BommmΞl!ツ"":2,""MrInsaneBunny"":1,""Reduktorius"":1,""-TL- Monster_Corndog"":9,""Smurf | 我種藍莓"":3,""MS | Fuze"":2,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":1,""-TL- RectumRipper"":6,""TeTris"":1,""GAS"":3,""Galtia"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MACK"":8,""Vadiii.therapist"":4,""-TL- Potato"":3}","593","0","1100","220","{""MG42"":84}","{""M1 GARAND"":15,""M1918A2 BAR"":1,""BROWNING M1919"":8,""155MM HOWITZER [M114]"":3,""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}"
"76561197977943501","ﾒ robRRT","83","16","5.19","23","0.97","0.19","3","0","0","0","808","18","{""-TL- bic"":1,""7stoner"":2,""NOname"":1,""MS | BommmΞl!ツ"":3,""MS | Major WakandaPerhaps"":1,""=TL=Blackasaurus Rex"":1,""MS | WBσ$$mλπ"":2,""-TL- RectumRipper"":1,""TeTris"":1,""MACK"":2,""-TL- Potato"":1}","{""-TL-GIRLCOCKSUPREME"":6,""Hellbro"":3,""=LordFarquaad="":2,""-TL- bic"":2,""7stoner"":1,""-TL- Bisper"":3,""Spamdini"":1,""MS | sNIPP"":6,""-TL- JB"":1,""Ya Mon Jo"":2,""MS | Soldaad"":1,""-TL- Priime"":1,""-TL- Edotensei"":4,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":5,""MrInsaneBunny"":6,""-TL- Monster_Corndog"":5,""Smurf | 我種藍莓"":3,""MS | Fuze"":5,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":1,""-TL- RectumRipper"":5,""TeTris"":1,""GAS"":1,""Galtia"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rwendler"":1,""MACK"":4,""Vadiii.therapist"":3,""thelastpizzaroll"":2,""-TL- Potato"":2}","555","240","1180","260","{""MG42"":83}","{""M1 GARAND"":10,""BROWNING M1919"":1,""M2 FLAMETHROWER"":1,""155MM HOWITZER [M114]"":1,""M6 37mm [M8 Greyhound]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198102953999","ＧＩＧＡＤＥＡＴＨ","82","49","1.67","10","0.96","0.57","5","8","5","1","948","18","{""-TL-  Gil"":1,""-TL- DylanRedux"":1,""Data"":1,""-TL- JVCK"":2,""dabs"":2,""MS | Soldaad"":1,""-TL- Priime"":3,""-TL- Tigers0204"":1,""MS | Major WakandaPerhaps"":2,""MrInsaneBunny"":1,""Reduktorius"":2,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":6,""-TL- REDACTED"":3,""MS | WBσ$$mλπ"":3,""-TL- RectumRipper"":1,""TeTris"":3,""GAS"":4,""Galtia"":3,""Dr Spetz"":5,""MACK"":1,""Vadiii.therapist"":2}","{""-TL-GIRLCOCKSUPREME"":3,""Bleicher Junge"":5,""MS | Armin"":6,""7stoner"":1,""-TL- zemo"":1,""-TL- DylanRedux"":2,""Data"":2,""MS | sNIPP"":5,""-TL- Priime"":4,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":1,""Reduktorius"":4,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":10,""MS | Fuze"":4,""=TL=Blackasaurus Rex"":5,""-TL- REDACTED"":1,""GAS"":3,""Galtia"":10,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""Dr Spetz"":3,""MACK"":5,""thelastpizzaroll"":2}","941","537","640","560","{""MG42"":10,""MP40"":33,""S-MINE"":8,""SATCHEL"":26,""KARABINER 98K"":4,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":2,""M97 TRENCH GUN"":1,""MK2 GRENADE"":2,""37MM CANNON [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":6,""76MM M1 GUN [Sherman M4A3E2(76)]"":5,""BAZOOKA"":2,""M3 GREASE GUN"":1,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":27}"
"76561198251411256","MS | WBσ$$mλπ","77","9","8.56","30","0.9","0.11","3","3","0","0","1553","86","{""♤ Rupertz"":1,""ﾒ prank"":1,""//IPoopNaked"":1,""ﾒ Gloomy Crusty"":1,""ﾒ Briison"":1,""ﾒ PiPi'sWaterPark"":1,""ﾒ robo"":1,""ﾒ Shaettax"":1,""メ SnarkySnacks"":1}","{""ﾒ Keanu"":3,""ﾒ smiLk"":2,""ﾒ KillSwitcH"":5,""ﾒ evac"":3,""ﾒ Bama"":1,""♤ Rupertz"":1,""ﾒ LuCid"":4,""ﾒ 404"":2,""stevE_"":5,""♤ Spirit"":1,""メKX99"":4,""ﾒ Bull➇t"":2,""//IPoopNaked"":5,""ﾒ badup"":2,""ﾒ waterjug"":4,""ﾒ Briison"":3,""ﾒ PiPi'sWaterPark"":2,""メ Richie B."":6,""ﾒ Lord.Jax"":1,""ﾒ Dimo the Mad"":8,""ﾒ ☞Fake☜"":2,""ﾒW0RSTGUITARIST"":1,""ＧＩＧＡＤＥＡＴＨ"":3,""ﾒ Chox"":1,""ﾒ robRRT"":2,""ﾒNova"":3,""ﾒ LadyBi"":1}","1213","40","1120","440","{""M3 GREASE GUN"":1,""37MM CANNON [Stuart M5A1]"":3,""76MM M1 GUN [Sherman M4A3E2(76)]"":65,""COAXIAL M1919 [Sherman M4A3E2(76)]"":8}","{""MG42"":1,""SATCHEL"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":2,""PRECISION STRIKE"":1,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561197983239662","stevE_","72","59","1.22","6","0.86","0.7","6","0","0","0","218","18","{""=LordFarquaad="":1,""-TL- zemo"":1,""Data"":2,""-TL- JVCK"":2,""MS | sNIPP"":5,""Ya Mon Jo"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":4,""MS | Major WakandaPerhaps"":19,""MrInsaneBunny"":3,""Reduktorius"":1,""-TL- Monster_Corndog"":4,""Smurf | 我種藍莓"":2,""MS | Fuze"":1,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":5,""TeTris"":1,""GAS"":1,""Galtia"":1,""Dr Spetz"":2,""MACK"":1}","{""-TL-GIRLCOCKSUPREME"":3,""Bleicher Junge"":2,""Hellbro"":1,""=LordFarquaad="":1,""MS | Armin"":2,""-TL- bic"":1,""Data"":4,""MS | sNIPP"":1,""Ya Mon Jo"":3,""MS | Soldaad"":1,""-TL- Edotensei"":7,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":7,""MrInsaneBunny"":5,""Reduktorius"":2,""-TL- Monster_Corndog"":4,""Smurf | 我種藍莓"":1,""MS | Fuze"":5,""-TL- REDACTED"":2,""-TL- RectumRipper"":3,""TeTris"":1,""GAS"":4,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""Dr Spetz"":3,""MACK"":1,""Vadiii.therapist"":2}","486","990","560","620","{""MP40"":6,""STG44"":1,""GEWEHR 43"":60,""KARABINER 98K"":5}","{""155MM HOWITZER [M114]"":19,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":2,""MK2 GRENADE"":1,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":7,""M3 GREASE GUN"":1,""M6 37mm [M8 Greyhound]"":2,""M1 GARAND"":24}"
"76561198271678203","ﾒ Chox","70","64","1.09","9","0.82","0.75","11","0","0","0","268","14","{""Bleicher Junge"":1,""=LordFarquaad="":1,""MS | Armin"":1,""7stoner"":1,""-TL- zemo"":13,""-TL- Bisper"":1,""Data"":1,""NOname"":5,""MS | Soldaad"":3,""-TL- Priime"":2,""MS | BommmΞl!ツ"":1,""MS | Major WakandaPerhaps"":7,""Reduktorius"":4,""Smurf | 我種藍莓"":1,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":1,""TeTris"":2,""GAS"":4,""-TL- rwendler"":3,""Dr Spetz"":1,""MACK"":3,""Vadiii.therapist"":2,""-TL- rik"":2,""thelastpizzaroll"":3}","{""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":5,""=LordFarquaad="":1,""-TL-  Gil"":6,""MS | Armin"":3,""-TL- bic"":1,""7stoner"":1,""-TL- zemo"":9,""-TL- Bisper"":2,""NOname"":4,""- TL - Alex Von Doom"":1,""MS | sNIPP"":1,""Ya Mon Jo"":3,""MS | Soldaad"":1,""-TL- Priime"":3,""-TL- Edotensei"":1,""Reduktorius"":4,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":3,""-TL- REDACTED"":3,""Galtia"":1,""Dr Spetz"":2,""Vadiii.therapist"":1,""-TL- rik"":6,""thelastpizzaroll"":5,""-TL- Potato"":1}","563","490","660","500","{""MP40"":2,""STG44"":7,""GEWEHR 43"":61}","{""BAZOOKA"":1,""M1 GARAND"":48,""M1 CARBINE"":1,""MK2 GRENADE"":1,""M3 GREASE GUN"":2,""BROWNING M1919"":3,""155MM HOWITZER [M114]"":7,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
